B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Monocyte	NK	NKT	Pericyte	Plasma
KRT19	YBX1	FDCSP	B2M	B2M	A4GALT	B2M	ALB	KRT19	S100A2	SLPI	ALB	S100A2
S100A2	VIM	HSPA1A	HLA-DQA2	HLA-B	ABCC3	COL1A1	LGALS1	B2M	KRT19	MIR205HG	APOA2	COL1A1
TIMP1	KRT19	HSP90AA1	YBX1	ALB	ABHD11	HLA-B	CAPG	S100A2	SLPI	S100A2	APOC3	IGFBP7
PPIL4	B2M	CXCL13	KRT19	HLA-C	ABHD14B	HLA-E	KRT19	HLA-DRA	GOLGB1	KRT19	COL3A1	KRT17
MRPL22	ATP5D	LGALS1	IGFBP7	CRHBP	ABHD17A	COL1A2	S100A2	FXYD3	B2M	YBX1	APOA1	KRT19
C1QBP	CD69	HSPD1	S100A2	DNASE1L3	ABI2	FN1	CD5L	KRT17	DR1	CLDN4	FABP1	COL3A1
NA	PNRC1	BAG3	PNRC1	SEPP1	ABI3	HLA-C	S100A6	YBX1	DNAJC1	COTL1	EEF1G	MIR205HG
NA	RGCC	HSPH1	ATP5D	KRT19	ABRACL	DNASE1L3	ANXA2	C4orf48	FAM50A	IGFBP7	PEBP1	APOE
NA	S100A2	HSP90AB1	PIM3	S100A2	AC092580.4	LGALS1	S100A10	CLDN4	SDF4	FN1	CAT	SLPI
NA	LGALS1	TAF11	SLPI	S100A6	ACAA1	FCN3	LIPA	MIR205HG	ATP5D	RPS26	RPL17	COL1A2
NA	IGFBP7	GNLY	RPL18A	HLA-E	ACAA2	S100A11	PMP22	KRT18	RCN2	COL1A1	COL4A1	SAA1
NA	COTL1	TMEM165	COTL1	XIST	ACADM	COL3A1	APOA1	SLPI	IGFBP7	SAA1	TIMP1	SYT8
NA	KRT8	KCTD20	APOE	FCGRT	ACADS	COL5A1	CXCL12	TNFRSF12A	YBX1	RGCC	FABP4	TIMP1
NA	ANXA2	CXCR4	SDF4	CLEC4G	ACADVL	SEPP1	APOA2	CD74	HLA-B	HLA-DRB1	FN1	IER3
NA	SLPI	VIM	COL1A1	CD36	ACAP1	CRHBP	CETP	PERP	SOCS1	CHCHD10	COL4A2	IL8
NA	KLRB1	B2M	FAM118A	CTSD	ACAT1	THY1	S100A11	KRT8	RIF1	ATP5D	S100A2	FN1
NA	PLP2	ORMDL2	RPS26	RPL6	ACAT2	ALB	SLPI	KRT5	LAMP1	AGR2	COL1A2	MGP
NA	RARRES3	BCL7B	KRT17	RPLP1	ACBD3	CLEC4G	GAPDH	PLAT	SAA1	KRT17	FBLIM1	KRT7
NA	S100A10	C19orf24	C4orf48	CTSL	ACOT13	FCGRT	CLDN4	HLA-DQB1	BCL7C	WFDC2	KRT19	KRT8
NA	LMNA	CHCHD10	RAC1	CCL14	ACOT2	VCAN	KRT8	LGALS1	POLG	KRT8	TXNDC17	SPARC
NA	MT-ND4	RPL3	NINJ1	KRT17	ACOT7	CTSL	SEPP1	HLA-DRB1	IL8	COL6A1	PCOLCE	PHLDA2
NA	RPS26	EIF1AY	MIR205HG	CLEC4M	ACSL1	COL5A2	APOC3	MT-ND4L	MIR205HG	CD69	PAIP2	AGR2
NA	SDF4	SAMD9	RPL10	APOA2	ACSL3	CLEC1B	B2M	AGR2	C1QBP	KRT7	GPX3	SAA2
NA	HLA-B	HLA-DQA2	KRT8	MIR205HG	ACTB	FCN2	CTSS	WFDC2	HPCAL1	B2M	GDI1	C19orf33
NA	SFPQ	TSHZ2	PSMB9	CETP	ACTG1	HLA-A	SYT8	HLA-DPB1	LASP1	MMP14	IER3	CLDN4
NA	KHDRBS1	GZMK	HLA-B	CLEC1B	ACTN1	OIT3	CCR1	IGFBP7	CITED2	C4orf48	CSPG4	YBX1
NA	EIF4G2	HSPB1	DUSP1	GPX1	ACTN4	S100A2	MIR205HG	CXCR4	COL1A2	BTG1	COL1A1	S100A11
NA	SOCS1	SFPQ	NENF	VIM	ACTR3	VIM	CFP	ITGB4	APOE	RP1-3J17.3	RERG	FXYD3
NA	APOE	CLTA	HES4	MMP2	ADA	CLEC4M	SLC40A1	COL1A1	GADD45GIP1	S100A16	SERPINA1	S100A16
NA	DUSP1	DAZAP1	INSIG1	APOA1	ADAM15	CTHRC1	MPEG1	IL8	USP11	CD6	COL18A1	IFITM3
NA	LIMD2	FAM50A	YWHAH	FCN3	ADH1A	TPM2	KRT17	SPINT2	SPP1	PNRC1	SNX3	SDF4
NA	TUBB4B	YBX1	TPT1	LGMN	ADH1B	CD14	CD9	CSTA	OSTF1	PERP	PCMT1	SOCS3
NA	CLTB	CD69	CREM	BST2	ADH4	BGN	IGFBP7	GNB2	SASH3	CDH17	PLN	CRIP2
NA	TOB1	GZMB	CD69	SLPI	ADH5	CCL14	WSB1	ITM2B	CHCHD7	COL3A1	STOML2	TM4SF1
NA	LCK	GLRX5	KRT10	FCN2	ADI1	COL6A3	KRT7	EIF3E	PIM3	SFN	GSTM3	PLAT
NA	ATP5A1	COTL1	DUSP2	PPAP2B	ADIRF	FCGR2B	OLR1	PSMB9	MLEC	FXYD3	XIST	CXCL2
NA	ZFAND5	SLC4A7	CEBPB	OIT3	ADM	BST2	COL1A1	SLC38A2	PSIP1	RNF145	RRBP1	ADIRF
NA	GMFG	MX1	ETV3	SDPR	AFF4	MFGE8	IGLL5	HLA-DQA1	RPS26	CXCL1	COX6A1P2	FTH1
NA	KRT17	PHB	CLDN4	APOC3	AGPAT2	FAP	SPINT2	TACSTD2	CLDN4	NA	ATP6V1F	CHCHD10
NA	FAM118A	FAM105B	CD9	RPS2	AGR2	PPAP2B	FXYD3	SAA1	PDCD2	NA	S100A11	RPL3
NA	CMTM3	HLA-C	RPS18	COL1A1	AGR3	SPARC	PKM	ATP5D	BZW2	NA	ANGPT2	PNRC1
NA	GABARAPL2	TXNL4A	RNF145	TSPAN7	AGRN	RAMP3	MXD1	RPS26	ALKBH5	NA	RPSAP58	KRT18
NA	COL1A1	CLU	SAA1	RPLP0	AGT	SERPINE1	VCAM1	KTN1	GNB2	NA	PRR16	COL6A2
NA	C4orf48	TMEM259	KHDRBS1	RPL41	AGXT	RPLP1	TSPO	C19orf59	CLTB	NA	SH3BGRL3	PI3
NA	ATP6V1G1	WNK1	KRT7	TACSTD2	AHNAK	MMP14	CCL4	KRT10	TRAF4	NA	VMP1	PIM3
NA	VAMP2	RTN4	HLA-A	FCGR2B	AHNAK2	PRCP	RPS4Y1	SYT8	PLEKHB2	NA	RPS26	S100A9
NA	TNFRSF12A	MPC2	SYT8	C4orf48	AHR	LGMN	TACSTD2	GPRC5A	C12orf75	NA	MRPL11	ID1
NA	CAPG	RGCC	RPL39	CD14	AHSG	MS4A6A	CEBPB	SFN	SF3B2	NA	DAD1	TNFRSF12A
NA	CHCHD10	SYNCRIP	TSC22D1	ASAH1	AIG1	SDPR	HLA-E	KRT7	TMEM123	NA	PMEPA1	COL4A1
NA	DNAJA1	GLUD1	MT-ND1	LGALS1	AIP	NOTCH3	FN1	LCN2	SLC7A5	NA	MDH2	BGN
NA	TIMP1	TARS	FOS	SYT8	AK1	CHPF	TPP1	NA	CD9	NA	C1R	G0S2
NA	EIF4B	CST7	SLC7A5	HLA-A	AK3	KRT19	KRT18	NA	KRT7	NA	NOTCH3	S100A10
NA	CDC42SE2	KMT2A	AKAP13	CXCL16	AKAP7	PRKCDBP	AGR2	NA	CDKN1A	NA	LGALS3	CCL2
NA	MINOS1	NAP1L4	EIF3E	CD4	AKR1A1	CDH11	TXN	NA	CD59	NA	NSA2	CHST2
NA	SUMO1	CLTB	FN1	RPS4Y1	AKR1B10	TNFAIP6	MYL6	NA	ACYP2	NA	MRPS36	EMP1
NA	PIM3	NUDT5	TMEM165	UBB	AKR1C3	CD36	MS4A7	NA	RPN1	NA	PLS3	MARCKS
NA	SPCS2	TYMP	COL3A1	TIMP2	AKR1C4	LOX	CCL3	NA	ERO1LB	NA	TECR	DCN
NA	MT-ND4L	WTAP	PMP22	F2R	AKR7A2	MRC2	CD163	NA	FOS	NA	TMEM109	B2M
NA	SPCS1	SERPINH1	PTMS	KRT8	AKR7A3	SOCS3	FCN3	NA	CAPG	NA	DDX3X	COL6A1
