B	CD4T	CD8T	DC	Endothelial	Epithelial	Fibroblast	Macrophage	Mast	Monocyte	NK	NKT
HSP90AA1	HSP90AA1	DNAJA1	IGHA1	HLA.E	IGKC	IGKC	ALDH2	IGKC	IGHA1	HSP90AA1	HSPA1A
HSPA1A	HSPA1A	DNAJB1	IGLC2	IGKC	IGHA1	COL3A1	ANXA1	DNAJB1	IGKC	B2M	IGKC
HSP90AB1	IGHA1	HSP90AA1	IGKC	EPAS1	TMSB10	IGFBP6	CD52	HSPA1A	IGLC2	HSPA1A	IGHA1
HSPE1	IGKC	HSP90AB1	HSPA1A	IGHA1	MARCKSL1	GPX3	CES1	HSPE1	SCGB1A1	HSP90AB1	HSPA1B
HSPH1	FABP4	HSPA1A	IGHG4	IGFBP7	RPL39	COL1A1	CRIP1	HSPA1B	IGHG4	DNAJB1	HSP90AA1
HSPA8	SFTPC	HSPA1B	DNAJB1	HSPG2	IGLC2	RPLP1	CYP27A1	HSPH1	RPS4Y1	FGFBP2	DNAJB1
HSPD1	HSPA1B	HSPA8	HSPA1B	SPRY1	SPINK1	PAG1	FABP4	HSP90AA1	AC090498.1	NKG7	HSPH1
DNAJA1	DNAJB1	HSPD1	SCGB3A1	PLVAP	AGER	TXNIP	FAM89A	IGHA1	EEF1A1	HSPE1	HSPE1
DNAJB1	IGLC2	HSPE1	HSP90AA1	TMEM100	GAPDH	CTHRC1	FHL1	HSPD1	IGHG1	HSPA1B	HSP90AB1
FABP4	HSPA8	HSPH1	SFTPC	HLA.C	RPL38	COL1A2	FOLR3	DNAJA1	SFTPC	IGHA1	HSPB1
IGHA1	HSP90AB1	UBB	SPP1	EMP2	TESC	TACC1	FTH1	ZFAND2A	RPL39	HLA.C	IGLC2
SFTPC	HSPE1	HSPB1	IGLC3	VWA1	MDK	PTN	GLIPR2	HSPB1	ALOX5AP	IGKC	HSPD1
HSPA1B	HSPH1	IGKC	HSPE1	TXNIP	EMP2	IGHA1	HPGD	IGLC2	SPP1	DNAJA1	GAPDH
MRPL18	DNAJA1	CACYBP	HSPD1	FCN3	RPS21	IFNGR1	IGFBP2	SDPR	JCHAIN	PRF1	JUN
CD79A	EGR1	IGHA1	IGHG1	HLA.B	SFTPC	ZBTB16	IGHA1	HSPA8	RPS29	HSPH1	RGS1
TCL1A	RPS4Y1	ZFAND2A	HSPB1	C10ORF10	RPLP2	CYB5A	IGKC	IGHG4	ACTB	HSPD1	CACYBP
CACYBP	APOC1	UBC	HSPH1	RPS28	RPS29	NDRG1	IGLC2	VIM	SUB1	HSPA8	HSPA6
RGS1	S100A6	SFTPC	FABP4	RPL28	RPL37A	FXYD1	LGALS3	RPS26	MT.CO1	TMSB4X	HSPA8
FKBP4	UBB	HSPA6	FCGR2B	B2M	CAV1	FAM105A	MARCO	HSP90AB1	MXD1	GZMH	BAG3
DNAJB6	HSPD1	JUN	BAG3	RPLP1	OCIAD2	POSTN	MCEMP1	CD52	BCL2A1	HLA.B	CXCL13
ANKRD37	S100A4	SERPINH1	HSP90AB1	ITM2B	HLA.A	LAMP1	MME	ANXA1	AP2B1	HLA.E	ZFAND2A
CHORDC1	JUN	FKBP4	MT.ND3	RPS2	MIF	STOM	NPC2	TSC22D3	CAPZA2	HSPB1	SERPINH1
IGHM	RGS1	SOD1	DNAJA4	RPS18	RPL37	ACADVL	OASL	SFTPC	SOD1	S100A4	DNAJA4
CD52	NR4A1	DEDD2	JCHAIN	TNFSF10	RPS19	AGTR1	PDLIM1	SRSF5	POLR2L	NR4A1	KLRD1
AHSA1	S100A10	IGLC2	NLRP3	RPS19	IFI27	TMEM204	PHLDA3	JUNB	HLA.B	REL	FGFBP2
DEDD2	C1QA	DUSP4	CHORDC1	CD36	HN1	SLC52A2	PLA2G16	CACYBP	SCGB3A1	CST7	COTL1
STIP1	HSPB1	S100A4	IGHA2	SLC6A4	PPP1R14B	COL6A3	PPARG	DUSP1	RPS10	JUN	DNAJA1
TUBB4B	ANXA1	MRPL18	HES4	BST2	IGHG1	MMP11	RETN	IER2	TMSB10	TNFRSF18	PRF1
ZFAND2A	VIM	NR4A1	MRPL23	SDPR	TIMP1	SERPINH1	RGCC	TUBA1A	ATP1A1	FCGR3A	TYMS
IGHD	ANXA2	CHORDC1	AHNAK	CLDN5	UPK3B	TCF25	RGS1	TMEM176B	MAPKAPK3	DUSP4	NUSAP1
HSPB1	CD52	AHSA1	GAPDH	ACKR1	TFF3	COL5A2	S100A13	SEMA4A	GSTK1	RGCC	MALAT1
BAG3	APOE	BAG3	DDX5	SGK1	ABCC3	PRMT1	S100A4	DEDD2	NDUFB1	CACYBP	GEM
UBB	EMP3	KLRG1	MT.ND2	IL7R	PEBP4	NNMT	S100A6	HSPA6	TOMM7	TMSB10	TYROBP
SKIL	MYL12A	H3F3B	MAP3K8	IGLC2	CD24	EFEMP1	SCGB1A1	DNAJB6	TYMP	ITGB2	DEDD2
SELL	CACYBP	DNAJB4	SARAF	MGP	TSPAN8	GOLPH3	SERPINA1	VWA5A	ARF1	MYL12A	SOD1
C1QA	IGLC3	DNAJB6	PLK3	CYR61	ANKRD29	SBDS	SPP1	DNAJB4	VAMP2	FOSB	DUSP4
SQSTM1	IGHM	EIF5	MIF	CXORF36	RPL13A	PCSK7	TMEM176B	CD44	RNMT	HLA.A	IGLC3
DNAJB4	C1QB	RGS2	VSIG4	PRSS23	RGCC	FN1	TREM1	FOS	TKT	HSPA6	MRPL18
CD79B	S100A11	CMC1	PRDX1	ADAMTS9	ADIRF	UBA2	TSPO	CHORDC1	ATP6V0B	SPON2	FCGR3A
CKS2	ANKRD28	DNAJA4	SCAND1	COL4A1	IGLC3	COL5A1	LPL	HLA.C	ROMO1	LINC00996	HLA.DQA2
CCR7	DEDD2	RPL3	RGCC	RPS8	SMIM22	COL10A1	PCOLCE2	BAG3	CCL4	TNFAIP3	RPLP1
SOD1	WDR74	CXCL13	MIR24.2	SCGB1A1	NTM	THBS2	LTA4H	FABP4	UTRN	JUND	FABP5
REL	TNFRSF4	DYNLL1	ZFAND2A	RAI14	ATP5E	LUM	AKR1C3	SCGB3A1	CSTB	XCL1	ATF3
CCT4	PLP2	RPL7	ANKRD28	RPL41	CYP4B1	CDH11	SGMS2	CREM	RPL36A	KDM6B	IGHG1
EIF1	CXCL13	HLA.C	PDLIM1	RPS12	TIMP3	FBLN2	SVIL	HLA.B	SNHG25	GZMB	KIAA0101
PTGES3	BTG1	PTGES3	UBB	MTRNR2L12	S100P	VCAN	GPD1	UACA	TUBA1A	GZMA	PTTG1
