;gene;p_val;avg_log2FC;pct.1;pct.2;p_val_adj;cell;cancer
1;HSP90AA1;3.78E-76;2.078638948;0.974;0.775;8.66E-72;B;Lung
2;HSPA1A;1.00E-59;2.992707451;0.912;0.245;2.29E-55;B;Lung
3;HSP90AB1;1.18E-55;1.818516375;0.956;0.745;2.71E-51;B;Lung
4;HSPE1;7.89E-47;2.086786102;0.928;0.539;1.81E-42;B;Lung
5;HSPH1;9.16E-45;2.266715958;0.877;0.304;2.10E-40;B;Lung
6;HSPA8;1.02E-38;1.63100558;0.928;0.686;2.32E-34;B;Lung
7;HSPD1;6.36E-36;2.060993738;0.88;0.431;1.46E-31;B;Lung
8;DNAJA1;1.64E-34;1.618291321;0.911;0.529;3.75E-30;B;Lung
9;DNAJB1;4.20E-33;1.80929349;0.881;0.412;9.61E-29;B;Lung
10;FABP4;5.70E-31;-1.27386697;0.005;0.275;1.30E-26;B;Lung
11;IGHA1;1.21E-30;3.330321753;0.71;0.137;2.78E-26;B;Lung
12;SFTPC;2.26E-29;-1.176547565;0.02;0.363;5.18E-25;B;Lung
13;HSPA1B;3.15E-27;1.631301955;0.763;0.235;7.21E-23;B;Lung
14;MRPL18;1.49E-22;1.671372247;0.699;0.225;3.41E-18;B;Lung
15;CD79A;3.88E-22;-1.054062188;0.837;0.931;8.87E-18;B;Lung
16;TCL1A;6.38E-22;-1.991448994;0.06;0.363;1.46E-17;B;Lung
17;CACYBP;9.00E-19;1.357239524;0.728;0.314;2.06E-14;B;Lung
18;RGS1;2.03E-18;1.986549574;0.64;0.196;4.64E-14;B;Lung
19;FKBP4;2.51E-18;1.465037045;0.628;0.196;5.74E-14;B;Lung
20;DNAJB6;6.80E-18;1.40148352;0.772;0.431;1.56E-13;B;Lung
21;ANKRD37;1.13E-17;1.475236568;0.595;0.167;2.58E-13;B;Lung
22;CHORDC1;4.53E-17;1.518008971;0.582;0.176;1.04E-12;B;Lung
23;IGHM;5.48E-17;-0.989704144;0.624;0.775;1.25E-12;B;Lung
24;CD52;8.85E-17;-0.83456935;0.847;0.922;2.03E-12;B;Lung
25;AHSA1;1.13E-16;1.156164686;0.669;0.255;2.58E-12;B;Lung
26;DEDD2;1.18E-16;1.2168909;0.637;0.216;2.69E-12;B;Lung
27;STIP1;3.52E-16;1.119318148;0.509;0.108;8.05E-12;B;Lung
28;TUBB4B;5.06E-16;1.162607672;0.715;0.324;1.16E-11;B;Lung
29;ZFAND2A;1.81E-15;1.121875487;0.511;0.118;4.15E-11;B;Lung
30;IGHD;5.62E-15;-1.501852864;0.155;0.422;1.29E-10;B;Lung
31;HSPB1;7.47E-15;1.87451738;0.658;0.284;1.71E-10;B;Lung
32;BAG3;1.64E-14;1.133722912;0.355;0.029;3.75E-10;B;Lung
33;UBB;1.71E-14;1.146745298;0.935;0.853;3.92E-10;B;Lung
34;SKIL;1.84E-14;0.908959511;0.494;0.118;4.22E-10;B;Lung
35;SELL;2.61E-14;-1.154792592;0.338;0.471;5.97E-10;B;Lung
36;C1QA;4.89E-14;-1.004626;0.113;0.294;1.12E-09;B;Lung
37;SQSTM1;5.19E-14;1.266793318;0.783;0.471;1.19E-09;B;Lung
38;DNAJB4;1.45E-13;1.050008791;0.425;0.078;3.32E-09;B;Lung
39;CD79B;3.25E-13;-1.114111906;0.309;0.51;7.44E-09;B;Lung
40;CKS2;3.36E-13;0.751355833;0.708;0.333;7.68E-09;B;Lung
41;CCR7;5.22E-13;1.488297709;0.761;0.529;1.19E-08;B;Lung
42;SOD1;7.24E-13;0.926135868;0.781;0.471;1.66E-08;B;Lung
43;REL;7.31E-13;1.036791059;0.871;0.667;1.67E-08;B;Lung
44;CCT4;1.65E-12;0.811154437;0.603;0.235;3.79E-08;B;Lung
45;EIF1;2.41E-12;0.503255406;0.988;0.922;5.52E-08;B;Lung
46;PTGES3;3.88E-12;1.021249794;0.749;0.441;8.89E-08;B;Lung
47;FAM65B;4.03E-12;-0.89803529;0.175;0.373;9.23E-08;B;Lung
48;PMAIP1;9.79E-12;0.855132752;0.704;0.353;2.24E-07;B;Lung
49;SESN1;1.05E-11;-0.924675725;0.058;0.275;2.42E-07;B;Lung
50;CD83;2.28E-11;0.961539972;0.861;0.706;5.22E-07;B;Lung
51;IGLC2;5.17E-11;0.814180425;0.557;0.294;1.18E-06;B;Lung
52;C1QB;5.39E-11;-1.054624976;0.113;0.294;1.23E-06;B;Lung
53;TCP1;5.92E-11;0.807119315;0.628;0.284;1.36E-06;B;Lung
54;PLPP5;6.02E-11;-0.917407791;0.083;0.275;1.38E-06;B;Lung
55;NR4A1;7.17E-11;0.85706065;0.688;0.353;1.64E-06;B;Lung
56;LINC00926;1.18E-10;-0.973016963;0.371;0.578;2.69E-06;B;Lung
57;FAM129C;1.71E-10;-0.844784441;0.091;0.294;3.91E-06;B;Lung
58;SLBP;1.77E-10;1.014318086;0.519;0.196;4.06E-06;B;Lung
59;CD74;1.80E-10;-0.532331361;0.997;0.99;4.12E-06;B;Lung
60;HLA.DMB;2.18E-10;-0.787658492;0.466;0.657;4.99E-06;B;Lung
61;CD37;2.26E-10;-0.59443736;0.919;0.941;5.18E-06;B;Lung
62;YBX3;2.54E-10;-1.052555242;0.124;0.353;5.83E-06;B;Lung
63;APOC1;2.85E-10;-0.854321269;0.082;0.225;6.53E-06;B;Lung
64;DUSP2;3.16E-10;1.008499828;0.677;0.353;7.24E-06;B;Lung
65;GPBP1;3.50E-10;0.857187216;0.748;0.471;8.01E-06;B;Lung
66;ELL2;3.53E-10;0.763258834;0.393;0.098;8.08E-06;B;Lung
67;EIF5;5.96E-10;0.786940708;0.82;0.578;1.36E-05;B;Lung
68;JUND;5.99E-10;0.706515376;0.621;0.294;1.37E-05;B;Lung
69;PLAC8;6.24E-10;-0.989279613;0.264;0.451;1.43E-05;B;Lung
70;DUSP10;6.31E-10;0.856943243;0.31;0.049;1.44E-05;B;Lung
71;SNX2;6.41E-10;-0.847543369;0.385;0.559;1.47E-05;B;Lung
