p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.77985317423136	0.418	0.148	0	Epithelial	SCGB2A2
0	3.04994579452999	0.221	0.038	0	Epithelial	SCGB1D2
0	2.99355004987319	0.783	0.168	0	Epithelial	KRT19
0	2.89525766478949	0.283	0.046	0	Epithelial	TFF1
0	2.82986006239139	0.262	0.051	0	Epithelial	PIP
0	2.80396024469351	0.255	0.128	0	Epithelial	MUCL1
0	2.80367073222359	0.495	0.075	0	Epithelial	TFF3
0	2.79206911846302	0.634	0.067	0	Epithelial	AZGP1
0	2.74168358239739	0.777	0.136	0	Epithelial	KRT18
0	2.50972597125125	0.746	0.113	0	Epithelial	KRT8
0	2.44866579209357	0.848	0.523	0	Epithelial	COX6C
0	2.44609557988898	0.271	0.135	0	Epithelial	KRT17
0	2.37126932360297	0.649	0.168	0	Epithelial	KRT7
0	2.29832760394697	0.661	0.13	0	Epithelial	CD24
0	2.21567636574437	0.681	0.423	0	Epithelial	MGP
0	2.21550810608804	0.62	0.137	0	Epithelial	TACSTD2
0	2.15441783906854	0.582	0.063	0	Epithelial	ELF3
0	2.09208565283613	0.25	0.103	0	Epithelial	SAA1
0	2.03527716581863	0.578	0.063	0	Epithelial	S100A14
0	1.99537252698873	0.419	0.07	0	Epithelial	WFDC2
0	1.96173514727977	0.579	0.126	0	Epithelial	MGST1
0	1.93461684230297	0.717	0.129	0	Epithelial	SPINT2
0	1.91939109691323	0.55	0.04	0	Epithelial	SMIM22
0	1.90229567853644	0.575	0.078	0	Epithelial	CLDN4
0	1.89698959288093	0.39	0.029	0	Epithelial	AGR3
0	1.86279516834875	0.386	0.027	0	Epithelial	ANKRD30A
0	1.85568840763892	0.813	0.434	0	Epithelial	XBP1
0	1.79732191268588	0.628	0.084	0	Epithelial	FXYD3
0	1.79719247482211	0.535	0.073	0	Epithelial	GATA3
0	1.77852063738465	0.397	0.046	0	Epithelial	AGR2
0	1.65069446600276	0.528	0.082	0	Epithelial	TRPS1
0	1.64960717294816	0.172	0.063	0	Epithelial	MMP7
0	1.61939049457624	0.374	0.064	0	Epithelial	STC2
0	1.61211471422091	0.466	0.147	0	Epithelial	CRIP1
0	1.58156365505517	0.78	0.346	0	Epithelial	PPDPF
0	1.52046542722588	0.489	0.126	0	Epithelial	SLC39A6
0	1.46471393443184	0.389	0.028	0	Epithelial	CLDN3
0	1.43991101372732	0.282	0.037	0	Epithelial	SFN
0	1.42022042821178	0.183	0.033	0	Epithelial	SCGB3A1
0	1.4102522593429	0.18	0.015	0	Epithelial	S100P
0	1.41021053128102	0.469	0.036	0	Epithelial	CLDN7
0	1.38695649978322	0.399	0.046	0	Epithelial	MUC1
0	1.38460221102653	0.498	0.053	0	Epithelial	DSP
0	1.36945761988383	0.132	0.028	0	Epithelial	SAA2
0	1.34890785614422	0.587	0.12	0	Epithelial	TSTD1
0	1.34146118329534	0.155	0.056	0	Epithelial	KRT14
0	1.33672323119241	0.602	0.21	0	Epithelial	H2AFJ
0	1.33335892950487	0.448	0.138	0	Epithelial	CRABP2
0	1.29658522591045	0.836	0.458	0	Epithelial	MIF
0	1.29236410068817	0.164	0.031	0	Epithelial	KRT6B
0	1.27726675464181	0.554	0.166	0	Epithelial	CYB5A
0	1.23885122862136	0.222	0.037	0	Epithelial	KRT15
0	1.23869518833573	0.389	0.079	0	Epithelial	STARD10
0	1.23364052751676	0.158	0.036	0	Epithelial	KRT5
0	1.20255408964638	0.45	0.1	0	Epithelial	SDC4
0	1.19445911824407	0.397	0.031	0	Epithelial	EPCAM
0	1.17599782216018	0.479	0.135	0	Epithelial	PERP
0	1.16227594146552	0.38	0.13	0	Epithelial	GSTM3
0	1.14605370853374	0.175	0.015	0	Epithelial	MRPS30-DT
0	1.12422804155983	0.309	0.023	0	Epithelial	ESR1
0	1.12095785222813	0.438	0.1	0	Epithelial	ATP1B1
0	1.10989424201998	0.6	0.237	0	Epithelial	MARCKSL1
0	1.10811607406035	0.382	0.024	0	Epithelial	MAL2
0	1.09656169219488	0.616	0.29	0	Epithelial	ADIRF
0	1.09042155624551	0.368	0.146	0	Epithelial	AREG
0	1.08630750907631	0.53	0.212	0	Epithelial	TCEAL4
0	1.07516156588631	0.206	0.025	0	Epithelial	SLPI
0	1.05238931180334	0.776	0.43	0	Epithelial	UQCRQ
0	1.04706371430547	0.336	0.031	0	Epithelial	CA12
0	1.03770511756488	0.351	0.071	0	Epithelial	RAB11FIP1
0	1.03739959165284	0.342	0.087	0	Epithelial	FASN
0	1.01973846262164	0.703	0.3	0	Epithelial	CD9
0	1.01888426335739	0.736	0.515	0	Epithelial	HSPB1
0	1.01119778642827	0.42	0.138	0	Epithelial	MAGED2
0	1.00985326950161	0.205	0.026	0	Epithelial	KRT23
0	1.00640671936466	0.326	0.017	0	Epithelial	ZG16B
0	0.99423366190485	0.161	0.067	0	Epithelial	S100A9
0	0.988847020780863	0.315	0.027	0	Epithelial	MLPH
0	0.986039029003494	0.368	0.1	0	Epithelial	PBX1
0	0.972170625136077	0.146	0.017	0	Epithelial	LTF
0	0.972116265151741	0.571	0.205	0	Epithelial	PRDX2
0	0.958833394518445	0.464	0.125	0	Epithelial	CCND1
0	0.958315296213384	0.377	0.043	0	Epithelial	TPD52
0	0.938293708405344	0.336	0.02	0	Epithelial	ERBB3
0	0.934845047199268	0.421	0.107	0	Epithelial	SMIM14
0	0.927331609842061	0.689	0.354	0	Epithelial	MZT2B
0	0.920377864395305	0.129	0.043	0	Epithelial	KRT81
0	0.91471716718577	0.344	0.068	0	Epithelial	EFNA1
0	0.911592653400056	0.565	0.264	0	Epithelial	S100A16
0	0.910642057095893	0.274	0.015	0	Epithelial	SPDEF
0	0.900093865493906	0.413	0.136	0	Epithelial	CRIP2
0	0.896184757470334	0.279	0.015	0	Epithelial	FOXA1
0	0.894117989746148	0.407	0.111	0	Epithelial	TSPAN13
0	0.890618069174133	0.261	0.017	0	Epithelial	DEGS2
0	0.877636409153624	0.314	0.03	0	Epithelial	DHCR24
0	0.874265046392569	0.379	0.073	0	Epithelial	MYO6
0	0.872845719350794	0.216	0.096	0	Epithelial	TCIM
0	0.860800405237305	0.328	0.08	0	Epithelial	EFHD1
0	0.857417214461315	0.111	0.013	0	Epithelial	CALML5
0	0.850983495769376	0.361	0.056	0	Epithelial	PAFAH1B3
0	0.847868511221044	0.157	0.052	0	Epithelial	SERPINA1
0	0.846941115948863	0.454	0.337	0	Epithelial	MT1X
0	0.8433477411159	0.764	0.466	0	Epithelial	ATP5MC2
0	0.841888989617561	0.318	0.023	0	Epithelial	CDH1
0	0.841618119175969	0.347	0.043	0	Epithelial	SERINC2
0	0.840996846656054	0.334	0.079	0	Epithelial	TBC1D9
0	0.8389100107013	0.553	0.26	0	Epithelial	S100A13
0	0.82828889829469	0.618	0.313	0	Epithelial	NDUFC2
0	0.826588692214284	0.275	0.063	0	Epithelial	HIST1H1C
0	0.815965550534811	0.302	0.04	0	Epithelial	IRX3
0	0.811917710225043	0.298	0.02	0	Epithelial	TFAP2A
0	0.811168594585859	0.773	0.472	0	Epithelial	COX6A1
0	0.809752338091229	0.19	0.01	0	Epithelial	TMC5
0	0.809202637948867	0.25	0.02	0	Epithelial	PARD6B
