p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	4.78199680625344	0.948	0.33	0	Epithelial	PHGR1
0	4.30643956850109	0.83	0.242	0	Epithelial	TFF3
0	4.15608034846381	0.941	0.234	0	Epithelial	KRT8
0	4.00353935090889	0.911	0.16	0	Epithelial	LGALS4
0	3.99391826977628	0.545	0.213	0	Epithelial	FABP1
0	3.97186093743017	0.836	0.155	0	Epithelial	KRT19
0	3.84320952660928	0.787	0.12	0	Epithelial	AGR2
0	3.77608876431437	0.912	0.175	0	Epithelial	KRT18
0	3.68741177994974	0.896	0.196	0	Epithelial	FXYD3
0	3.3559320487863	0.826	0.104	0	Epithelial	TSPAN8
0	3.27995374259117	0.799	0.096	0	Epithelial	EPCAM
0	3.2422038028501	0.517	0.125	0	Epithelial	PIGR
0	3.18239959737425	0.682	0.072	0	Epithelial	S100P
0	2.9449176458465	0.828	0.087	0	Epithelial	C19orf33
0	2.76517923720862	0.545	0.045	0	Epithelial	LCN2
0	2.71270691568664	0.708	0.073	0	Epithelial	ELF3
0	2.69820658405985	0.229	0.041	0	Epithelial	MMP7
0	2.69138237018593	0.423	0.069	0	Epithelial	MT1G
0	2.65871789393936	0.706	0.065	0	Epithelial	CLDN3
0	2.65645262104729	0.832	0.061	0	Epithelial	SMIM22
0	2.62969466019503	0.46	0.039	0	Epithelial	TFF1
0	2.59172991332766	0.742	0.053	0	Epithelial	S100A14
0	2.57071366631525	0.75	0.068	0	Epithelial	GPX2
0	2.55538360101341	0.26	0.04	0	Epithelial	REG4
0	2.54148506115901	0.72	0.119	0	Epithelial	CD24
0	2.53261470293383	0.539	0.15	0	Epithelial	CKB
0	2.48027047758383	0.613	0.13	0	Epithelial	C15orf48
0	2.37606564774902	0.877	0.352	0	Epithelial	IFI27
0	2.35185880175689	0.619	0.054	0	Epithelial	TSPAN1
0	2.33765005016481	0.662	0.076	0	Epithelial	CLDN4
0	2.29889505012727	0.684	0.054	0	Epithelial	CLDN7
0	2.23209934815863	0.926	0.598	0	Epithelial	TXN
0	2.18216816205757	0.724	0.201	0	Epithelial	SPINT2
0	2.15981964269925	0.485	0.028	0	Epithelial	CEACAM6
0	2.12531038366073	0.902	0.523	0	Epithelial	LGALS3
0	2.09063956711684	0.514	0.033	0	Epithelial	SPINK1
0	2.03029365311794	0.526	0.03	0	Epithelial	FAM3D
0	2.00447790464658	0.539	0.024	0	Epithelial	CEACAM5
0	1.97377591042733	0.996	0.888	0	Epithelial	S100A6
0	1.87421849830074	0.434	0.018	0	Epithelial	PRAC1
0	1.87016376913755	0.272	0.037	0	Epithelial	DEFB1
0	1.86766805343951	0.636	0.031	0	Epithelial	PRSS3
0	1.7974785006028	0.97	0.68	0	Epithelial	S100A10
0	1.77808820783164	0.927	0.69	0	Epithelial	GSTP1
0	1.76559572513805	0.546	0.02	0	Epithelial	AGR3
0	1.70788946495953	0.485	0.046	0	Epithelial	PRAP1
0	1.69720620759934	0.637	0.086	0	Epithelial	TMEM54
0	1.67837779680755	0.717	0.214	0	Epithelial	TMEM141
