p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.8865903052292	0.994	0.413	0	NK	NKG7
0	2.58899680410052	0.468	0.049	0	NK	FGFBP2
0	2.49871095817774	0.704	0.357	0	NK	CMC1
0	2.40162344745303	0.564	0.139	0	NK	GZMB
0	2.37981556325236	0.806	0.243	0	NK	CD7
0	2.32618891371047	0.549	0.041	0	NK	KLRF1
0	2.17688004374079	0.824	0.2	0	NK	PRF1
0	2.12564290539573	0.804	0.156	0	NK	KLRD1
0	2.11040880603407	0.941	0.466	0	NK	CCL5
0	2.0281412569583	0.683	0.227	0	NK	GZMH
0	2.00545425644751	0.399	0.071	0	NK	XCL2
0	1.98416625971009	0.803	0.214	0	NK	CTSW
0	1.94604241156117	0.303	0.04	0	NK	XCL1
0	1.94349313826952	0.897	0.448	0	NK	CCL4
0	1.80687745617459	0.558	0.218	0	NK	CLIC3
0	1.79572737328713	0.96	0.379	0	NK	CST7
0	1.78455040436099	0.648	0.158	0	NK	CD247
0	1.71226935246769	0.479	0.092	0	NK	IL2RB
0	1.65253923301641	0.959	0.372	0	NK	GZMA
0	1.47055446601683	0.938	0.488	0	NK	HCST
0	1.46703669752834	0.428	0.08	0	NK	CD160
0	1.46623162511381	0.923	0.403	0	NK	PTPRCAP
0	1.42277246073274	0.73	0.246	0	NK	GZMM
0	1.41290696188519	0.284	0.024	0	NK	KLRC1
0	1.37379361763829	0.521	0.161	0	NK	SYTL3
0	1.3237661664881	0.828	0.329	0	NK	KLRB1
0	1.31794733712652	0.411	0.073	0	NK	S1PR5
0	1.30043786260258	0.576	0.208	0	NK	BIN2
0	1.28479283538347	0.78	0.398	0	NK	EVL
0	1.23398426079099	0.461	0.108	0	NK	MATK
0	1.21255715694189	0.887	0.412	0	NK	CD69
0	1.18153065438846	0.931	0.51	0	NK	CORO1A
0	1.14569183836662	0.908	0.475	0	NK	PTPRC
0	1.13146587782749	0.955	0.586	0	NK	CXCR4
0	1.08321944219262	0.343	0.059	0	NK	FCRL6
0	1.06309186805046	0.993	0.873	0	NK	HLA-E
0	1.02577531538576	0.999	0.95	0	NK	HLA-C
0	1.01523191001338	0.999	0.966	0	NK	HLA-A
0	0.899302217595924	0.995	0.98	0	NK	PFN1
0	0.882442514573408	1	0.938	0	NK	HLA-B
0	0.850364279858242	1	0.996	0	NK	B2M
0	0.766909325937353	0.193	0.015	0	NK	TXK
0	0.721640653401536	0.16	0.006	0	NK	SH2D1B
3.10317290476659e-306	1.11010997161364	0.703	0.28	6.14831647621404e-302	NK	LCK
2.85700453343683e-298	1.21244313567638	0.789	0.422	5.6605830820984e-294	NK	ITGB2
4.88496545984443e-298	1.01406022910864	0.954	0.734	9.67858206558977e-294	NK	ARHGDIB
5.09271041198512e-289	1.13900378405939	0.811	0.456	1.00901871392661e-284	NK	IL2RG
1.12015325956191e-287	1.16486290160633	0.726	0.335	2.21935965317001e-283	NK	ALOX5AP
1.17759395112312e-280	1.1635064415906	0.805	0.545	2.33316689536023e-276	NK	RAC2
