p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	3.70627369446939	0.607	0.036	0	CD8T	GZMK
0	3.68653453210499	0.682	0.175	0	CD8T	CCL4
0	3.49513137996786	0.809	0.117	0	CD8T	CCL5
0	3.3999005148294	0.9	0.25	0	CD8T	CXCR4
0	3.11715484924132	0.654	0.072	0	CD8T	GZMA
0	2.9491312719134	0.689	0.081	0	CD8T	CD3D
0	2.87971706903975	0.649	0.095	0	CD8T	TRAC
0	2.86665372873502	0.633	0.075	0	CD8T	CD2
0	2.80957020275457	0.575	0.089	0	CD8T	CD69
0	2.60496164636677	0.679	0.181	0	CD8T	PTPRC
0	2.57385896086516	0.541	0.077	0	CD8T	NKG7
0	2.51337641137463	0.473	0.068	0	CD8T	TRBC2
0	2.46680086909235	0.725	0.182	0	CD8T	CD52
0	2.44569422948751	0.398	0.056	0	CD8T	TRBC1
0	2.41177516267762	0.493	0.072	0	CD8T	CST7
0	2.39843083378522	0.382	0.066	0	CD8T	IL7R
0	2.3922638144452	0.519	0.065	0	CD8T	CD3E
0	2.3691168481303	0.677	0.225	0	CD8T	IL32
0	2.34557557234311	0.377	0.024	0	CD8T	CD8A
0	2.31288627808224	0.47	0.054	0	CD8T	CTSW
0	2.24876111929816	0.627	0.186	0	CD8T	HCST
0	2.24117483622479	0.314	0.032	0	CD8T	GZMH
0	2.0556587147526	0.999	0.942	0	CD8T	B2M
0	1.97602329097784	0.981	0.738	0	CD8T	HLA-B
0	1.94777720216378	0.393	0.078	0	CD8T	IL2RG
0	1.92906215501699	0.419	0.088	0	CD8T	CD7
0	1.9236923001001	0.289	0.038	0	CD8T	KLRD1
0	1.92326544330499	0.299	0.021	0	CD8T	CD8B
0	1.89619778723653	0.952	0.747	0	CD8T	HLA-A
0	1.84895473769677	0.922	0.703	0	CD8T	HLA-C
0	1.81857284142444	0.31	0.035	0	CD8T	GZMM
0	1.81401771896212	0.237	0.027	0	CD8T	XCL2
0	1.75704463479645	0.297	0.034	0	CD8T	CD3G
0	1.71183702314938	0.249	0.03	0	CD8T	GPR171
0	1.71043709154973	0.83	0.36	0	CD8T	SRGN
0	1.65593921150416	0.794	0.6	0	CD8T	BTG1
0	1.63264138192493	0.354	0.097	0	CD8T	ACAP1
0	1.61832870224418	0.46	0.174	0	CD8T	CORO1A
0	1.52930597427576	0.25	0.033	0	CD8T	PRF1
0	1.51542810832096	0.217	0.028	0	CD8T	CD27
0	1.50220032242091	0.218	0.028	0	CD8T	CD96
0	1.45327450189102	0.289	0.048	0	CD8T	LCK
0	1.37568660250709	0.189	0.018	0	CD8T	TRAT1
0	1.3060215462938	0.175	0.018	0	CD8T	CXCR6
