,Epithelial,Fibroblast,Pericyte,Endothelial,CD4T,Macrophage,B,CD8T,DC,NK,Plasma,NKT,Mast,Monocyte
1,AL669831.5,SAMD11,AL669831.5,AL669831.5,NOC2L,AL669831.5,AL669831.5,NOC2L,AL669831.5,NOC2L,NOC2L,NOC2L,NOC2L,AL669831.5
2,LINC00115,NOC2L,LINC00115,LINC00115,HES4,NOC2L,NOC2L,ISG15,LINC00115,PLEKHN1,PLEKHN1,HES4,HES4,NOC2L
3,FAM41C,HES4,NOC2L,NOC2L,ISG15,HES4,HES4,TNFRSF18,FAM41C,HES4,HES4,ISG15,ISG15,HES4
4,SAMD11,ISG15,AL645608.8,HES4,TNFRSF18,ISG15,ISG15,TNFRSF4,NOC2L,ISG15,ISG15,AGRN,TNFRSF18,ISG15
5,NOC2L,AGRN,HES4,ISG15,TNFRSF4,AGRN,TNFRSF18,SDF4,HES4,TTLL10,TNFRSF18,TNFRSF18,TNFRSF4,C1orf159
6,KLHL17,C1orf159,ISG15,AGRN,SDF4,C1orf159,SDF4,UBE2J2,ISG15,TNFRSF18,TNFRSF4,TNFRSF4,SDF4,SDF4
7,PLEKHN1,TNFRSF18,AGRN,C1orf159,UBE2J2,TNFRSF18,B3GALT6,PUSL1,AGRN,TNFRSF4,SDF4,SDF4,UBE2J2,B3GALT6
8,PERM1,TNFRSF4,SDF4,TNFRSF18,ACAP3,TNFRSF4,UBE2J2,INTS11,C1orf159,SDF4,UBE2J2,UBE2J2,ACAP3,UBE2J2
9,HES4,SDF4,B3GALT6,TNFRSF4,PUSL1,SDF4,PUSL1,AURKAIP1,TNFRSF18,B3GALT6,ACAP3,ACAP3,INTS11,ACAP3
10,ISG15,B3GALT6,UBE2J2,SDF4,INTS11,B3GALT6,INTS11,CCNL2,TNFRSF4,UBE2J2,PUSL1,PUSL1,AURKAIP1,INTS11
11,AGRN,C1QTNF12,ACAP3,B3GALT6,CPTP,UBE2J2,CPTP,MRPL20,SDF4,INTS11,INTS11,INTS11,CCNL2,AURKAIP1
12,RNF223,UBE2J2,PUSL1,UBE2J2,AURKAIP1,ACAP3,AURKAIP1,SSU72,UBE2J2,AURKAIP1,CPTP,AURKAIP1,MRPL20,CCNL2
13,C1orf159,ACAP3,INTS11,ACAP3,CCNL2,PUSL1,CCNL2,AL645728.1,ACAP3,CCNL2,TAS1R3,CCNL2,ATAD3B,MRPL20
14,AL390719.2,PUSL1,CPTP,PUSL1,MRPL20,INTS11,MRPL20,MIB2,PUSL1,MRPL20,DVL1,MRPL20,ATAD3A,ATAD3B
15,TNFRSF18,INTS11,DVL1,INTS11,ATAD3B,CPTP,ATAD3B,CDK11B,INTS11,SSU72,AURKAIP1,SSU72,SSU72,ATAD3A
16,SDF4,CPTP,MXRA8,CPTP,ATAD3A,DVL1,ATAD3A,SLC35E2B,CPTP,AL645728.1,CCNL2,AL645728.1,AL645728.1,SSU72
17,B3GALT6,DVL1,AURKAIP1,DVL1,SSU72,AURKAIP1,SSU72,CDK11A,AURKAIP1,MIB2,MRPL20,MIB2,MIB2,AL645728.1
18,UBE2J2,MXRA8,CCNL2,MXRA8,AL645728.1,CCNL2,AL645728.1,NADK,CCNL2,MMP23B,ATAD3C,CDK11B,CDK11B,AL691432.2
19,ACAP3,AURKAIP1,MRPL20,AURKAIP1,MIB2,MRPL20,MIB2,GNB1,MRPL20,CDK11B,ATAD3B,CDK11A,SLC35E2B,CDK11B
20,PUSL1,CCNL2,ATAD3B,CCNL2,CDK11B,VWA1,CDK11B,PRKCZ,ANKRD65,SLC35E2B,ATAD3A,GNB1,CDK11A,CDK11A
21,INTS11,MRPL20,ATAD3A,MRPL20,SLC35E2B,ATAD3B,SLC35E2B,FAAP20,ATAD3C,CDK11A,SSU72,PRKCZ,GNB1,NADK
22,CPTP,ANKRD65,SSU72,ANKRD65,CDK11A,ATAD3A,CDK11A,SKI,ATAD3B,GNB1,AL645728.1,FAAP20,FAAP20,GNB1
23,DVL1,VWA1,AL645728.1,VWA1,NADK,SSU72,NADK,RER1,ATAD3A,PRKCZ,MIB2,SKI,SKI,FAAP20
