,Epithelial,Fibroblast,Pericyte,Endothelial,Neurons,Macrophage,DC,Monocyte,NKT,CD4T,CD8T,NK,B,Plasma,Mast
1,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2
2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2
3,RP11-206L10.9,RP11-206L10.9,RP11-206L10.9,RP11-206L10.9,RP11-206L10.9,RP11-206L10.9,RP11-206L10.9,NOC2L,RP11-206L10.9,NOC2L,NOC2L,RP11-206L10.9,RP11-206L10.9,RP11-206L10.9,NOC2L
4,LINC00115,LINC00115,LINC00115,LINC00115,SAMD11,LINC00115,LINC00115,KLHL17,LINC00115,PLEKHN1,PLEKHN1,LINC00115,LINC00115,NOC2L,HES4
5,FAM41C,FAM41C,FAM41C,SAMD11,NOC2L,FAM41C,NOC2L,PLEKHN1,FAM41C,ISG15,ISG15,FAM41C,NOC2L,PLEKHN1,ISG15
6,NOC2L,RP11-54O7.3,SAMD11,NOC2L,PLEKHN1,NOC2L,KLHL17,HES4,NOC2L,C1orf159,TNFRSF18,NOC2L,ISG15,ISG15,TNFRSF18
7,KLHL17,SAMD11,NOC2L,PLEKHN1,HES4,HES4,HES4,ISG15,PLEKHN1,TNFRSF18,TNFRSF4,PLEKHN1,TNFRSF18,C1orf159,TNFRSF4
8,PLEKHN1,NOC2L,RP11-54O7.17,HES4,ISG15,ISG15,ISG15,AGRN,ISG15,TNFRSF4,SDF4,HES4,SDF4,TNFRSF18,SDF4
9,HES4,KLHL17,HES4,ISG15,AGRN,AGRN,AGRN,C1orf159,AGRN,SDF4,UBE2J2,ISG15,UBE2J2,TNFRSF4,B3GALT6
10,ISG15,PLEKHN1,ISG15,AGRN,C1orf159,C1orf159,C1orf159,TNFRSF4,C1orf159,UBE2J2,ACAP3,C1orf159,ACAP3,SDF4,UBE2J2
11,AGRN,HES4,AGRN,C1orf159,SDF4,TNFRSF18,TNFRSF18,SDF4,TNFRSF18,ACAP3,PUSL1,TTLL10,PUSL1,B3GALT6,ACAP3
12,RNF223,ISG15,C1orf159,TNFRSF18,B3GALT6,TNFRSF4,TNFRSF4,FAM132A,TNFRSF4,PUSL1,CPSF3L,TNFRSF18,CPSF3L,UBE2J2,CPSF3L
13,C1orf159,AGRN,SDF4,TNFRSF4,UBE2J2,SDF4,SDF4,UBE2J2,SDF4,CPSF3L,CPTP,TNFRSF4,CPTP,ACAP3,CPTP
14,RP11-465B22.8,C1orf159,B3GALT6,SDF4,ACAP3,B3GALT6,B3GALT6,ACAP3,UBE2J2,CPTP,AURKAIP1,SDF4,AURKAIP1,PUSL1,MXRA8
15,TTLL10,TNFRSF18,UBE2J2,B3GALT6,PUSL1,UBE2J2,UBE2J2,PUSL1,ACAP3,AURKAIP1,CCNL2,B3GALT6,CCNL2,CPSF3L,AURKAIP1
16,TNFRSF18,TNFRSF4,ACAP3,FAM132A,CPSF3L,ACAP3,ACAP3,CPSF3L,PUSL1,CCNL2,MRPL20,UBE2J2,MRPL20,CPTP,CCNL2
17,TNFRSF4,SDF4,PUSL1,UBE2J2,CPTP,PUSL1,PUSL1,CPTP,CPSF3L,MRPL20,ATAD3B,ACAP3,ATAD3C,TAS1R3,MRPL20
18,SDF4,B3GALT6,CPSF3L,ACAP3,DVL1,CPSF3L,CPSF3L,DVL1,CPTP,ATAD3C,ATAD3A,PUSL1,ATAD3B,DVL1,ATAD3C
19,B3GALT6,FAM132A,CPTP,PUSL1,MXRA8,CPTP,CPTP,MXRA8,AURKAIP1,ATAD3B,SSU72,CPSF3L,ATAD3A,MXRA8,ATAD3B
20,FAM132A,UBE2J2,DVL1,CPSF3L,AURKAIP1,DVL1,DVL1,AURKAIP1,CCNL2,ATAD3A,RP5-832C2.5,CPTP,SSU72,AURKAIP1,ATAD3A
21,UBE2J2,ACAP3,MXRA8,CPTP,CCNL2,MXRA8,MXRA8,CCNL2,MRPL20,SSU72,MIB2,AURKAIP1,RP5-832C2.5,CCNL2,SSU72
22,ACAP3,PUSL1,AURKAIP1,DVL1,MRPL20,AURKAIP1,AURKAIP1,MRPL20,ATAD3B,RP5-832C2.5,MMP23B,CCNL2,RP11-345P4.9,MRPL20,MIB2
23,PUSL1,CPSF3L,CCNL2,MXRA8,ANKRD65,CCNL2,CCNL2,ATAD3A,ATAD3A,MIB2,CDK11B,MRPL20,MIB2,ATAD3C,MMP23B
24,CPSF3L,CPTP,MRPL20,AURKAIP1,VWA1,MRPL20,MRPL20,SSU72,SSU72,CDK11B,SLC35E2B,ATAD3A,CDK11B,ATAD3B,CDK11B
