,NK,NKT,CD4T,CD8T,Endothelial,Epithelial,Macrophage,Monocyte,DC,B,Plasma,Mast,Fibroblast,Pericyte
1,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AL627309.1,AL627309.1,AL627309.1,AP006222.2,AP006222.2,AP006222.2,NOC2L,AP006222.2,AP006222.2
2,FAM41C,RP11-206L10.9,NOC2L,NOC2L,NOC2L,AP006222.2,AP006222.2,AP006222.2,LINC00115,NOC2L,RP11-206L10.9,ISG15,RP11-206L10.2,RP11-206L10.2
3,NOC2L,LINC00115,HES4,HES4,RP11-54O7.17,RP11-206L10.3,RP11-206L10.3,RP11-206L10.3,NOC2L,HES4,LINC00115,SDF4,RP11-206L10.9,RP11-206L10.9
4,HES4,FAM41C,ISG15,ISG15,HES4,LINC00115,RP11-206L10.2,NOC2L,RP11-54O7.17,ISG15,NOC2L,CPSF3L,LINC00115,LINC00115
5,ISG15,NOC2L,AGRN,TNFRSF18,ISG15,FAM41C,LINC00115,HES4,HES4,C1orf159,PLEKHN1,AURKAIP1,NOC2L,NOC2L
6,C1orf159,RP11-54O7.17,C1orf159,TNFRSF4,AGRN,NOC2L,FAM41C,ISG15,ISG15,TNFRSF18,HES4,MRPL20,KLHL17,RP11-54O7.17
7,TNFRSF18,HES4,TNFRSF18,SDF4,C1orf159,KLHL17,NOC2L,AGRN,AGRN,TNFRSF4,ISG15,ATAD3B,PLEKHN1,HES4
8,TNFRSF4,ISG15,TNFRSF4,UBE2J2,TNFRSF18,PLEKHN1,RP11-54O7.17,TNFRSF18,C1orf159,SDF4,AGRN,SSU72,RP11-54O7.17,ISG15
9,SDF4,AGRN,SDF4,ACAP3,TNFRSF4,RP11-54O7.17,HES4,TNFRSF4,TNFRSF18,B3GALT6,C1orf159,AL645728.1,HES4,AGRN
10,UBE2J2,C1orf159,B3GALT6,PUSL1,SDF4,HES4,ISG15,SDF4,TNFRSF4,UBE2J2,TNFRSF18,NADK,ISG15,C1orf159
11,ACAP3,TNFRSF18,UBE2J2,CPSF3L,B3GALT6,ISG15,AGRN,UBE2J2,SDF4,ACAP3,TNFRSF4,GNB1,AGRN,TNFRSF18
12,PUSL1,TNFRSF4,ACAP3,GLTPD1,FAM132A,AGRN,C1orf159,ACAP3,B3GALT6,PUSL1,SDF4,C1orf86,C1orf159,TNFRSF4
13,CPSF3L,SDF4,PUSL1,AURKAIP1,UBE2J2,C1orf159,TNFRSF18,PUSL1,UBE2J2,CPSF3L,B3GALT6,AL590822.1,TNFRSF18,SDF4
14,GLTPD1,B3GALT6,CPSF3L,CCNL2,ACAP3,TNFRSF18,TNFRSF4,CPSF3L,ACAP3,GLTPD1,UBE2J2,SKI,TNFRSF4,B3GALT6
15,AURKAIP1,UBE2J2,GLTPD1,RP4-758J18.2,PUSL1,TNFRSF4,SDF4,GLTPD1,PUSL1,TAS1R3,ACAP3,RER1,SDF4,UBE2J2
16,CCNL2,ACAP3,AURKAIP1,MRPL20,CPSF3L,SDF4,B3GALT6,DVL1,CPSF3L,AURKAIP1,PUSL1,PEX10,B3GALT6,ACAP3
17,RP4-758J18.2,PUSL1,CCNL2,ATAD3B,GLTPD1,B3GALT6,UBE2J2,AURKAIP1,GLTPD1,CCNL2,CPSF3L,PANK4,UBE2J2,PUSL1
18,MRPL20,CPSF3L,RP4-758J18.2,ATAD3A,DVL1,FAM132A,ACAP3,CCNL2,DVL1,RP4-758J18.2,GLTPD1,TP73-AS1,SCNN1D,CPSF3L
19,ATAD3B,GLTPD1,MRPL20,SSU72,AURKAIP1,UBE2J2,PUSL1,RP4-758J18.2,AURKAIP1,MRPL20,TAS1R3,LRRC47,ACAP3,GLTPD1
20,ATAD3A,DVL1,ATAD3B,AL645728.1,CCNL2,ACAP3,CPSF3L,MRPL20,CCNL2,ATAD3B,DVL1,KCNAB2,PUSL1,DVL1
21,SSU72,AURKAIP1,ATAD3A,RP11-345P4.9,RP4-758J18.2,PUSL1,GLTPD1,ATAD3B,RP4-758J18.2,ATAD3A,AURKAIP1,RPL22,CPSF3L,AURKAIP1
22,RP11-345P4.9,CCNL2,SSU72,MIB2,MRPL20,CPSF3L,DVL1,ATAD3A,MRPL20,SSU72,CCNL2,TNFRSF25,GLTPD1,CCNL2
23,MIB2,RP4-758J18.2,AL645728.1,MMP23B,ANKRD65,GLTPD1,AURKAIP1,SSU72,ANKRD65,RP11-345P4.9,RP4-758J18.2,CAMTA1,DVL1,RP4-758J18.2
24,MMP23B,MRPL20,RP11-345P4.9,CDK11B,VWA1,DVL1,CCNL2,RP11-345P4.9,ATAD3B,MIB2,MRPL20,VAMP3,AURKAIP1,MRPL20
25,CDK11B,ATAD3B,MIB2,SLC35E2B,ATAD3C,AURKAIP1,RP4-758J18.2,MIB2,ATAD3A,CDK11B,ATAD3C,RERE,CCNL2,ANKRD65
26,SLC35E2B,ATAD3A,CDK11B,CDK11A,ATAD3B,CCNL2,MRPL20,CDK11B,SSU72,SLC35E2B,ATAD3B,ENO1,RP4-758J18.2,VWA1
27,CDK11A,SSU72,SLC35E2B,NADK,ATAD3A,RP4-758J18.2,ANKRD65,SLC35E2B,RP11-345P4.9,CDK11A,ATAD3A,H6PD,MRPL20,ATAD3B
28,NADK,AL645728.1,CDK11A,GNB1,SSU72,MRPL20,VWA1,CDK11A,MIB2,NADK,SSU72,TMEM201,ANKRD65,ATAD3A
29,GNB1,RP11-345P4.9,NADK,PRKCZ,AL645728.1,ANKRD65,ATAD3C,NADK,MMP23B,GNB1,AL645728.1,RBP7,VWA1,SSU72
30,C1orf86,MIB2,GNB1,C1orf86,RP11-345P4.9,VWA1,ATAD3B,GNB1,CDK11B,C1orf86,RP11-345P4.9,PGD,ATAD3C,AL645728.1
31,SKI,MMP23B,PRKCZ,SKI,MIB2,ATAD3C,ATAD3A,C1orf86,SLC35E2B,SKI,MIB2,TARDBP,ATAD3B,RP11-345P4.9
32,RER1,CDK11B,C1orf86,RER1,CDK11B,ATAD3B,SSU72,SKI,CDK11A,RER1,MMP23B,UBIAD1,ATAD3A,MIB2
33,PEX10,SLC35E2B,SKI,PEX10,SLC35E2B,ATAD3A,AL645728.1,RER1,NADK,PEX10,CDK11B,MTHFR,SSU72,MMP23B
34,PLCH2,CDK11A,RER1,PLCH2,CDK11A,SSU72,C1orf233,PEX10,GNB1,RP3-395M20.12,SLC35E2B,TNFRSF1B,AL645728.1,CDK11B
35,PANK4,NADK,PEX10,PANK4,NADK,AL645728.1,RP11-345P4.9,PANK4,PRKCZ,TNFRSF14,CDK11A,VPS13D,C1orf233,SLC35E2B
36,RP3-395M20.12,GNB1,PANK4,RP3-395M20.12,GNB1,C1orf233,MIB2,RP3-395M20.12,C1orf86,FAM213B,SLC35E2,EFHD2,RP11-345P4.9,CDK11A
37,TNFRSF14,PRKCZ,RP3-395M20.12,TNFRSF14,PRKCZ,RP11-345P4.9,MMP23B,TNFRSF14,SKI,TPRG1L,NADK,CASP9,MIB2,NADK
38,FAM213B,C1orf86,TNFRSF14,FAM213B,C1orf86,MIB2,CDK11B,FAM213B,RER1,WRAP73,GNB1,DDI2,MMP23B,GNB1
39,TPRG1L,SKI,FAM213B,TPRG1L,AL590822.1,MMP23B,SLC35E2B,TPRG1L,PEX10,SMIM1,TMEM52,FBLIM1,CDK11B,TMEM52
40,WRAP73,RER1,TPRG1L,WRAP73,SKI,CDK11B,CDK11A,WRAP73,PANK4,LRRC47,PRKCZ,SZRD1,SLC35E2B,PRKCZ
41,SMIM1,PEX10,WRAP73,LRRC47,RER1,SLC35E2B,NADK,SMIM1,RP3-395M20.12,CEP104,C1orf86,NECAP2,CDK11A,C1orf86
42,LRRC47,PLCH2,LRRC47,CEP104,PEX10,CDK11A,GNB1,CEP104,TNFRSF14,C1orf174,SKI,ALDH4A1,SLC35E2,AL590822.1
43,CEP104,PANK4,CEP104,C1orf174,PANK4,SLC35E2,PRKCZ,C1orf174,FAM213B,KCNAB2,MORN1,UBR4,NADK,SKI
44,DFFB,RP3-395M20.12,C1orf174,KCNAB2,RP3-395M20.12,NADK,C1orf86,KCNAB2,TPRG1L,RPL22,RER1,CAPZB,GNB1,MORN1
45,C1orf174,TNFRSF14,KCNAB2,RPL22,TNFRSF14,GNB1,SKI,RPL22,WRAP73,ICMT,PEX10,DDOST,PRKCZ,RER1
46,KCNAB2,FAM213B,RPL22,RNF207,FAM213B,TMEM52,RER1,RNF207,SMIM1,ACOT7,PLCH2,HP1BP3,C1orf86,PEX10
47,RPL22,TPRG1L,RNF207,ICMT,TPRG1L,PRKCZ,PEX10,ICMT,LRRC47,TNFRSF25,PANK4,EIF4G3,AL590822.1,PANK4
48,ICMT,WRAP73,ICMT,ACOT7,WRAP73,C1orf86,PANK4,ACOT7,CEP104,NOL9,RP3-395M20.12,CDC42,SKI,RP3-395M20.12
49,ACOT7,SMIM1,ACOT7,TNFRSF25,TP73-AS1,AL590822.1,RP3-395M20.12,TNFRSF25,C1orf174,ZBTB48,TNFRSF14,C1QA,MORN1,TNFRSF14
