,Epithelial,CD4T,Mast,Macrophage,CD8T,DC,Fibroblast,Endothelial,NKT,NK,B,Monocyte,Plasma
1,TSPAN6,DPM1,TSPAN6,TSPAN6,DPM1,DPM1,TSPAN6,TSPAN6,DPM1,DPM1,DPM1,DPM1,DPM1
2,DPM1,SCYL3,DPM1,DPM1,SCYL3,SCYL3,DPM1,DPM1,SCYL3,SCYL3,SCYL3,SCYL3,SCYL3
3,SCYL3,CFH,SCYL3,SCYL3,FGR,C1ORF112,SCYL3,SCYL3,C1ORF112,FGR,FGR,C1ORF112,CFH
4,C1ORF112,FUCA2,FGR,C1ORF112,CFH,FGR,C1ORF112,FGR,FGR,CFH,FUCA2,FGR,GCLC
5,FGR,GCLC,FUCA2,FGR,FUCA2,CFH,FGR,CFH,CFH,FUCA2,GCLC,FUCA2,LAS1L
6,CFH,NFYA,GCLC,CFH,GCLC,FUCA2,CFH,FUCA2,FUCA2,GCLC,NFYA,GCLC,ANKIB1
7,FUCA2,NIPAL3,NFYA,FUCA2,NFYA,GCLC,FUCA2,GCLC,GCLC,NFYA,STPG1,NFYA,CYP51A1
8,GCLC,LAS1L,NIPAL3,GCLC,NIPAL3,NFYA,GCLC,NFYA,NFYA,NIPAL3,NIPAL3,NIPAL3,KRIT1
9,NFYA,ENPP4,LAS1L,NFYA,LAS1L,STPG1,NFYA,STPG1,STPG1,LAS1L,LAS1L,LAS1L,BAD
10,STPG1,ANKIB1,ENPP4,STPG1,ENPP4,NIPAL3,STPG1,NIPAL3,NIPAL3,ENPP4,ENPP4,ENPP4,LAP3
11,NIPAL3,KRIT1,ANKIB1,NIPAL3,ANKIB1,LAS1L,NIPAL3,LAS1L,LAS1L,ANKIB1,ANKIB1,ANKIB1,CD99
12,LAS1L,BAD,KRIT1,LAS1L,KRIT1,ENPP4,LAS1L,ENPP4,ENPP4,KRIT1,KRIT1,KRIT1,LASP1
13,ENPP4,LAP3,BAD,ENPP4,BAD,ANKIB1,ENPP4,SEMA3F,ANKIB1,BAD,BAD,BAD,SNX11
14,SEMA3F,CD99,LAP3,ANKIB1,LAP3,KRIT1,ANKIB1,ANKIB1,KRIT1,LAP3,LAP3,LAP3,TMEM176A
15,CFTR,MAD1L1,CD99,KRIT1,CD99,RAD52,CYP51A1,CYP51A1,BAD,CD99,CD99,CD99,M6PR
16,ANKIB1,LASP1,HS3ST1,RAD52,MAD1L1,BAD,KRIT1,KRIT1,LAP3,MAD1L1,HS3ST1,MAD1L1,CASP10
17,CYP51A1,SNX11,MAD1L1,BAD,LASP1,LAP3,RAD52,BAD,CD99,LASP1,MAD1L1,LASP1,CFLAR
18,KRIT1,M6PR,LASP1,LAP3,SNX11,CD99,BAD,LAP3,MAD1L1,SNX11,LASP1,SNX11,RBM5
19,RAD52,ICA1,SNX11,CD99,M6PR,HS3ST1,LAP3,CD99,LASP1,M6PR,SNX11,TMEM176A,ARF5
20,BAD,CASP10,TMEM176A,HS3ST1,ICA1,AOC1,CD99,HS3ST1,SNX11,CASP10,TMEM176A,M6PR,POLDIP2
21,LAP3,CFLAR,M6PR,MAD1L1,CASP10,MAD1L1,HS3ST1,MAD1L1,TMEM176A,CFLAR,M6PR,ALS2,PLXND1
22,CD99,NDUFAF7,ICA1,LASP1,CFLAR,LASP1,MAD1L1,LASP1,M6PR,NDUFAF7,ICA1,CASP10,CD38
23,HS3ST1,RBM5,ALS2,SNX11,NDUFAF7,SNX11,LASP1,SNX11,ICA1,RBM5,CASP10,CFLAR,FKBP4
24,AOC1,ARF5,CASP10,TMEM176A,RBM5,TMEM176A,SNX11,TMEM176A,ALS2,ARF5,CFLAR,NDUFAF7,KDM1A
25,MAD1L1,SARM1,CFLAR,M6PR,ARF5,M6PR,TMEM176A,M6PR,CASP10,SARM1,NDUFAF7,RBM5,RBM6
26,LASP1,POLDIP2,NDUFAF7,ICA1,POLDIP2,ICA1,M6PR,ICA1,CFLAR,POLDIP2,RBM5,ARF5,RECQL
27,SNX11,PLXND1,RBM5,ALS2,PLXND1,ALS2,KLHL13,ALS2,NDUFAF7,PLXND1,ARF5,POLDIP2,NDUFAB1
28,TMEM176A,AK2,ARF5,CASP10,AK2,CASP10,ICA1,CASP10,RBM5,AK2,POLDIP2,PLXND1,SLC25A13
29,M6PR,CD38,SARM1,CFLAR,CD38,CFLAR,ALS2,CFLAR,ARF5,CD38,PLXND1,AK2,CDC27
30,KLHL13,FKBP4,POLDIP2,TFPI,FKBP4,TFPI,CASP10,TFPI,SARM1,FKBP4,AK2,FKBP4,HCCS
31,ICA1,KDM1A,PLXND1,NDUFAF7,KDM1A,NDUFAF7,CFLAR,NDUFAF7,POLDIP2,KDM1A,CD38,KDM1A,SKAP2
32,DBNDD1,RBM6,AK2,RBM5,RBM6,RBM5,TFPI,RBM5,PLXND1,RBM6,FKBP4,RBM6,SLC25A5
33,ALS2,RECQL,CD38,ARF5,RECQL,ARF5,NDUFAF7,SLC7A2,AK2,RECQL,KDM1A,RECQL,MCUB
34,CASP10,VPS50,FKBP4,SARM1,VPS50,SARM1,RBM5,ARF5,CD38,VPS50,RBM6,VPS50,POLR2J
35,CFLAR,NDUFAB1,KDM1A,POLDIP2,NDUFAB1,POLDIP2,SLC7A2,POLDIP2,FKBP4,NDUFAB1,CAMKK1,NDUFAB1,DHX33
36,TFPI,SLC25A13,RBM6,PLXND1,SLC25A13,PLXND1,ARF5,PLXND1,KDM1A,SLC25A13,RECQL,PDK4,LIG3
37,NDUFAF7,CDC27,CAMKK1,AK2,CDC27,AK2,SARM1,AK2,RBM6,ST7,VPS50,SLC25A13,RPAP3
38,RBM5,HCCS,RECQL,CD38,HCCS,CD38,POLDIP2,FKBP4,RECQL,CDC27,NDUFAB1,ST7,CIAPIN1
39,SLC7A2,DVL2,VPS50,FKBP4,DVL2,FKBP4,PLXND1,KDM1A,VPS50,HCCS,SLC25A13,CDC27,SPPL2B
40,ARF5,UPF1,NDUFAB1,KDM1A,UPF1,KDM1A,AK2,RBM6,ARHGAP33,DVL2,CDC27,HCCS,MSL3
41,SARM1,SKAP2,SLC25A13,RBM6,SKAP2,RBM6,CD38,CAMKK1,NDUFAB1,UPF1,HCCS,DVL2,CREBBP
42,POLDIP2,SLC25A5,ST7,CAMKK1,SLC25A5,CAMKK1,FKBP4,RECQL,PDK4,SKAP2,DVL2,UPF1,GCFC2
43,PLXND1,MCUB,CDC27,RECQL,MCUB,RECQL,KDM1A,VPS50,SLC25A13,SLC25A5,UPF1,SKAP2,WDR54
44,AK2,POLR2J,HCCS,VPS50,POLR2J,VPS50,RBM6,NDUFAB1,ST7,MCUB,SKAP2,SLC25A5,CROT
45,CD38,DHX33,DVL2,NDUFAB1,DHX33,NDUFAB1,RECQL,PDK4,CDC27,POLR2J,SLC25A5,MCUB,KMT2E
46,FKBP4,LIG3,UPF1,PDK4,LIG3,PDK4,VPS50,SLC25A13,HCCS,DHX33,MCUB,POLR2J,RHBDD2
47,KDM1A,RPAP3,SKAP2,ZMYND10,RPAP3,SLC25A13,HSPB6,ST7,DVL2,LIG3,POLR2J,DHX33,IBTK
48,RBM6,CIAPIN1,SLC25A5,SLC25A13,CIAPIN1,ST7,ARHGAP33,CDC27,UPF1,RPAP3,DHX33,LIG3,ZNF195
49,CAMKK1,SPPL2B,MCUB,ST7,SPPL2B,CDC27,NDUFAB1,HCCS,SKAP2,CIAPIN1,LIG3,RPAP3,MYCBP2
50,RECQL,FAM214B,POLR2J,CDC27,FAM214B,HCCS,PDK4,DVL2,SLC25A5,SPPL2B,RPAP3,ACSM3,FBXL3
51,VPS50,MSL3,DHX33,HCCS,MSL3,DVL2,SLC25A13,UPF1,MCUB,FAM214B,ACSM3,CIAPIN1,ITGAL
52,ARHGAP33,CREBBP,LIG3,DVL2,CREBBP,UPF1,ST7,SKAP2,POLR2J,COPZ2,CIAPIN1,SPPL2B,ITGA3
53,NDUFAB1,GCFC2,RPAP3,UPF1,GCFC2,SKAP2,CDC27,SLC25A5,DHX33,MSL3,SPPL2B,FAM214B,ZFX
54,PDK4,WDR54,ACSM3,SKAP2,WDR54,SLC25A5,HCCS,MCUB,LIG3,CREBBP,MSL3,PRKAR2B,C19ORF60
55,ZMYND10,CROT,AC004381.6,SLC25A5,CROT,MCUB,DVL2,POLR2J,RPAP3,TSPOAP1,CREBBP,MSL3,MAP3K14
56,SLC25A13,KMT2E,CIAPIN1,MCUB,KMT2E,POLR2J,UPF1,DHX33,ACSM3,GCFC2,GCFC2,CREBBP,AP2B1
57,ST7,RHBDD2,SPPL2B,POLR2J,RHBDD2,DHX33,SKAP2,THSD7A,AC004381.6,WDR54,WDR54,GCFC2,ZNF263
58,CDC27,IBTK,FAM214B,DHX33,IBTK,LIG3,SLC25A5,LIG3,CIAPIN1,CROT,CROT,WDR54,SPATA20
59,HCCS,ZNF195,COPZ2,LIG3,ZNF195,RPAP3,MCUB,RPAP3,SPPL2B,KMT2E,ABCB4,CROT,TNFRSF12A
60,DVL2,MYCBP2,PRKAR2B,RPAP3,MYCBP2,ACSM3,POLR2J,ACSM3,FAM214B,RHBDD2,KMT2E,KMT2E,AGK
61,PRSS22,FBXL3,MSL3,ACSM3,FBXL3,AC004381.6,DHX33,CIAPIN1,PRKAR2B,IBTK,RHBDD2,RHBDD2,PHTF2
62,UPF1,ITGAL,CREBBP,AC004381.6,ITGAL,CIAPIN1,LIG3,SPPL2B,MSL3,ZNF195,IBTK,IBTK,FARP2
63,SKAP2,PDK2,GCFC2,CIAPIN1,PDK2,SPPL2B,RPAP3,FAM214B,CREBBP,MYCBP2,ZNF195,ZNF195,GGCT
64,SLC25A5,ITGA3,WDR54,SPPL2B,ITGA3,FAM214B,ACSM3,COPZ2,TSPOAP1,FBXL3,MYCBP2,MYCBP2,DBF4
65,MCUB,ZFX,CROT,FAM214B,ZFX,PRKAR2B,AC004381.6,PRKAR2B,GCFC2,ITGAL,FBXL3,FBXL3,IFRD1
66,POLR2J,LAMP2,KMT2E,COPZ2,LAMP2,MSL3,CIAPIN1,MSL3,WDR54,PDK2,ITGAL,ITGAL,COX10
67,DHX33,GDE1,RHBDD2,PRKAR2B,GDE1,CREBBP,SPPL2B,CREBBP,CROT,ZFX,PDK2,PDK2,PAF1
68,THSD7A,C19ORF60,IBTK,MSL3,C19ORF60,TSPOAP1,FAM214B,GCFC2,KMT2E,LAMP2,ITGA3,ZFX,ARSD
69,LIG3,OSBPL7,ZNF195,CREBBP,OSBPL7,GCFC2,COPZ2,WDR54,RHBDD2,GDE1,ZFX,LAMP2,CCDC124
70,RPAP3,MAP3K14,MYCBP2,TSPOAP1,MAP3K14,WDR54,PRKAR2B,CROT,IBTK,C19ORF60,LAMP2,GDE1,PAFAH1B1
71,ACSM3,AP2B1,FBXL3,GCFC2,AP2B1,CROT,MSL3,KMT2E,ZNF195,OSBPL7,GDE1,C19ORF60,TRAPPC6A
72,AC004381.6,ZNF263,ITGAL,WDR54,ZNF263,ABCB4,CREBBP,RHBDD2,MYCBP2,MAP3K14,C19ORF60,MAP3K14,MATK
73,CIAPIN1,SPATA20,PDK2,CROT,SPATA20,KMT2E,GCFC2,IBTK,FBXL3,AP2B1,MAP3K14,AP2B1,CD79B
74,SPPL2B,TNFRSF12A,ITGA3,KMT2E,TNFRSF12A,RHBDD2,WDR54,ZNF195,ITGAL,ZNF263,AP2B1,ZNF263,LUC7L
75,FAM214B,RALA,ZFX,RHBDD2,RALA,IBTK,CROT,MYCBP2,PDK2,SPATA20,ZNF263,SPATA20,TSR3
76,COPZ2,KDM7A,LAMP2,IBTK,KDM7A,ZNF195,ABCB4,FBXL3,ITGA3,TNFRSF12A,SPATA20,TNFRSF12A,PIGQ
77,PRKAR2B,ETV1,ITGA2B,ZNF195,ETV1,MYCBP2,KMT2E,ITGAL,ZFX,RALA,TNFRSF12A,RALA,CRAMP1
78,MSL3,AGK,GDE1,MYCBP2,AGK,FBXL3,RHBDD2,PDK2,LAMP2,KDM7A,MAP3K9,KDM7A,MYLIP
79,CREBBP,PHTF2,C19ORF60,FBXL3,PHTF2,ITGAL,IBTK,ITGA3,GDE1,AGK,RALA,AGK,PSMB1
80,TSPOAP1,FARP2,TMEM98,ITGAL,GGCT,PDK2,ZNF195,ZFX,C19ORF60,TTC22,KDM7A,ALDH3B1,CDK11A
81,PON1,GGCT,MAP3K14,PDK2,DBF4,ITGA3,MYCBP2,LAMP2,OSBPL7,PHTF2,AGK,PHTF2,NADK
82,GCFC2,DBF4,AP2B1,ITGA3,IFRD1,ZFX,FBXL3,GDE1,MAP3K14,GGCT,PHTF2,FARP2,SYPL1
83,WDR54,IFRD1,ZNF263,ZFX,COX10,LAMP2,ITGAL,C19ORF60,AP2B1,DBF4,FARP2,GGCT,SPAG9
84,CROT,COX10,SPATA20,LAMP2,PAF1,GDE1,PDK2,OSBPL7,ZNF263,IFRD1,GGCT,DBF4,SS18L2
85,KMT2E,PAF1,TNFRSF12A,GDE1,VPS41,C19ORF60,ITGA3,TMEM98,SPATA20,COX10,DBF4,IFRD1,MGST1
86,RHBDD2,VPS41,RALA,C19ORF60,ELAC2,OSBPL7,ZFX,MAP3K14,TNFRSF12A,PAF1,IFRD1,COX10,ST3GAL1
87,SOX8,ELAC2,KDM7A,OSBPL7,PNPLA4,TMEM98,LAMP2,TMEM132A,RALA,VPS41,COX10,PAF1,IL32
88,IBTK,PNPLA4,AGK,MAP3K14,ADIPOR2,MAP3K14,GDE1,AP2B1,KDM7A,ELAC2,PAF1,VPS41,MED24
89,ZNF195,ADIPOR2,ALDH3B1,AP2B1,MARK4,AP2B1,C19ORF60,ZNF263,ETV1,ARSD,VPS41,ELAC2,RHOBTB2
90,MYCBP2,MARK4,PHTF2,ZNF263,CCDC124,ZNF263,OSBPL7,CX3CL1,AGK,PNPLA4,ELAC2,ARSD,SEC62
91,FBXL3,CCDC124,FARP2,SPATA20,CEACAM21,SPATA20,TMEM98,SPATA20,ALDH3B1,ADIPOR2,PNPLA4,PNPLA4,RPS20
