,CD8T,Epithelial,Fibroblast,Pericyte,Macrophage,Endothelial,CD4T,DC,B,NKT,Mast,Monocyte,NK,Plasma
1,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2,FO538757.2
2,NOC2L,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,AP006222.2,LINC00115,AP006222.2,RP11-206L10.9
3,ISG15,RP11-206L10.9,RP11-206L10.9,RP11-206L10.9,NOC2L,LINC00115,NOC2L,RP11-206L10.9,RP11-206L10.9,RP11-206L10.9,RP11-206L10.9,NOC2L,NOC2L,NOC2L
4,TNFRSF18,LINC00115,LINC00115,LINC00115,ISG15,NOC2L,PLEKHN1,LINC00115,NOC2L,LINC00115,LINC00115,HES4,PLEKHN1,HES4
5,TNFRSF4,RP11-54O7.1,RP11-54O7.1,SAMD11,AGRN,HES4,ISG15,NOC2L,ISG15,NOC2L,NOC2L,ISG15,ISG15,ISG15
6,SDF4,SAMD11,SAMD11,NOC2L,C1orf159,ISG15,AGRN,ISG15,C1orf159,PLEKHN1,HES4,AGRN,AGRN,AGRN
7,UBE2J2,NOC2L,NOC2L,RP11-54O7.17,TNFRSF18,AGRN,TNFRSF18,AGRN,SDF4,ISG15,ISG15,SDF4,C1orf159,C1orf159
8,PUSL1,PLEKHN1,HES4,HES4,TNFRSF4,C1orf159,TNFRSF4,C1orf159,UBE2J2,AGRN,AGRN,B3GALT6,TTLL10,TNFRSF18
9,CPSF3L,HES4,ISG15,ISG15,SDF4,TNFRSF18,SDF4,TNFRSF18,ACAP3,C1orf159,TNFRSF18,UBE2J2,TNFRSF18,TNFRSF4
10,MXRA8,ISG15,AGRN,AGRN,B3GALT6,TNFRSF4,B3GALT6,TNFRSF4,CPSF3L,TNFRSF18,TNFRSF4,ACAP3,TNFRSF4,SDF4
11,AURKAIP1,AGRN,C1orf159,C1orf159,UBE2J2,SDF4,UBE2J2,SDF4,CPTP,TNFRSF4,SDF4,PUSL1,SDF4,UBE2J2
12,CCNL2,C1orf159,SDF4,SDF4,ACAP3,B3GALT6,ACAP3,B3GALT6,MXRA8,SDF4,B3GALT6,CPSF3L,B3GALT6,ACAP3
13,MRPL20,RP11-465B22.8,B3GALT6,B3GALT6,PUSL1,FAM132A,PUSL1,FAM132A,AURKAIP1,B3GALT6,UBE2J2,CPTP,UBE2J2,PUSL1
14,ATAD3B,TTLL10,FAM132A,UBE2J2,CPSF3L,UBE2J2,CPSF3L,UBE2J2,CCNL2,UBE2J2,SCNN1D,DVL1,ACAP3,CPSF3L
15,SSU72,TNFRSF18,UBE2J2,ACAP3,CPTP,ACAP3,CPTP,ACAP3,MRPL20,ACAP3,ACAP3,MXRA8,PUSL1,CPTP
16,MIB2,TNFRSF4,ACAP3,PUSL1,DVL1,PUSL1,DVL1,PUSL1,ATAD3B,PUSL1,CPSF3L,AURKAIP1,CPSF3L,TAS1R3
17,CDK11B,SDF4,PUSL1,CPSF3L,MXRA8,CPSF3L,MXRA8,CPSF3L,ATAD3A,CPSF3L,CPTP,CCNL2,CPTP,DVL1
18,SLC35E2B,B3GALT6,CPSF3L,CPTP,AURKAIP1,CPTP,AURKAIP1,CPTP,SSU72,CPTP,DVL1,MRPL20,MXRA8,MXRA8
19,CDK11A,FAM132A,CPTP,DVL1,CCNL2,DVL1,CCNL2,DVL1,MIB2,DVL1,AURKAIP1,ATAD3A,AURKAIP1,AURKAIP1
20,GNB1,UBE2J2,DVL1,MXRA8,MRPL20,MXRA8,MRPL20,MXRA8,CDK11B,MXRA8,CCNL2,SSU72,CCNL2,CCNL2
21,PRKCZ,ACAP3,MXRA8,AURKAIP1,ANKRD65,AURKAIP1,ATAD3B,AURKAIP1,SLC35E2B,AURKAIP1,MRPL20,RP11-345P4.9,MRPL20,MRPL20
22,FAAP20,PUSL1,AURKAIP1,CCNL2,ATAD3B,CCNL2,ATAD3A,CCNL2,CDK11A,CCNL2,VWA1,MIB2,ATAD3B,ANKRD65
23,SKI,CPSF3L,CCNL2,MRPL20,ATAD3A,MRPL20,SSU72,MRPL20,NADK,MRPL20,ATAD3B,CDK11B,ATAD3A,VWA1
24,RER1,CPTP,MRPL20,VWA1,SSU72,ANKRD65,RP5-832C2.5,ANKRD65,GNB1,ANKRD65,ATAD3A,SLC35E2B,SSU72,ATAD3C
25,PEX10,DVL1,ANKRD65,ATAD3B,C1orf233,VWA1,MIB2,ATAD3B,PRKCZ,ATAD3C,SSU72,CDK11A,RP5-832C2.5,ATAD3B
26,RP3-395M20.8,MXRA8,VWA1,ATAD3A,RP11-345P4.9,ATAD3C,CDK11B,ATAD3A,FAAP20,ATAD3B,RP5-832C2.5,NADK,RP11-345P4.9,ATAD3A
27,TNFRSF14,AURKAIP1,ATAD3C,SSU72,MIB2,ATAD3B,SLC35E2B,SSU72,SKI,ATAD3A,C1orf233,GNB1,MIB2,SSU72
28,FAM213B,CCNL2,ATAD3B,RP5-832C2.5,CDK11B,ATAD3A,CDK11A,RP5-832C2.5,RER1,SSU72,RP11-345P4.9,PRKCZ,MMP23B,MIB2
29,TPRG1L,MRPL20,ATAD3A,RP11-345P4.9,SLC35E2B,SSU72,NADK,RP11-345P4.9,PEX10,RP11-345P4.9,MIB2,RP5-892K4.1,CDK11B,MMP23B
30,WRAP73,ANKRD65,SSU72,MIB2,CDK11A,RP11-345P4.9,GNB1,MIB2,PLCH2,MIB2,CDK11B,FAAP20,SLC35E2B,CDK11B
31,LRRC47,VWA1,RP5-832C2.5,MMP23B,NADK,MIB2,PRKCZ,CDK11B,PANK4,MMP23B,CDK11A,SKI,CDK11A,SLC35E2B
32,CEP104,ATAD3C,C1orf233,CDK11B,GNB1,CDK11B,FAAP20,SLC35E2B,RP3-395M20.12,CDK11B,NADK,RER1,NADK,CDK11A
33,C1orf174,ATAD3B,RP11-345P4.9,SLC35E2B,FAAP20,SLC35E2B,SKI,CDK11A,RP3-395M20.8,SLC35E2B,GNB1,PEX10,GNB1,NADK
34,KCNAB2,ATAD3A,MIB2,CDK11A,SKI,CDK11A,RER1,NADK,TNFRSF14,CDK11A,PRKCZ,PANK4,PRKCZ,GNB1
35,RPL22,SSU72,MMP23B,NADK,RER1,NADK,PEX10,GNB1,TPRG1L,NADK,FAAP20,RP3-395M20.12,FAAP20,TMEM52
