"";"orig.ident";"seurat_clusters";"cancer_name";"nCount_RNA";"nFeature_RNA";"percent.mito";"group";"Celltype_main";"Celltype_final"
"1";"KUL01.T";0;"Colon";8119;2640;15,5314693927824;"T";"Epithelial";"Epithelial"
"2";"KUL01.T";0;"Colon";1058;628;3,21361058601134;"T";"Epithelial";"Epithelial"
"3";"KUL01.T";0;"Colon";10935;3308;6,75811614083219;"T";"Epithelial";"Epithelial"
"4";"KUL01.T";0;"Colon";15190;3448;5,54970375246873;"T";"Epithelial";"Epithelial"
"5";"KUL01.T";0;"Colon";12317;3125;10,0349110984818;"T";"Epithelial";"Epithelial"
"6";"KUL01.T";0;"Colon";31578;5515;7,3342200266008;"T";"Epithelial";"Epithelial"
"7";"KUL01.T";0;"Colon";37803;5651;6,55239002195593;"T";"Epithelial";"Epithelial"
"8";"KUL01.T";0;"Colon";23973;4583;17,2694281066199;"T";"Epithelial";"Epithelial"
"9";"KUL01.T";0;"Colon";41020;5775;5,68746952705997;"T";"Epithelial";"Epithelial"
"10";"KUL01.T";0;"Colon";8107;2925;3,50314542987542;"T";"Epithelial";"Epithelial"
"11";"KUL01.T";0;"Colon";21823;5470;4,76103193878019;"T";"Epithelial";"Epithelial"
"12";"KUL01.T";0;"Colon";22322;4823;0,828778783263148;"T";"Epithelial";"Epithelial"
"13";"KUL01.T";0;"Colon";7144;2658;10,0923852183651;"T";"Epithelial";"Epithelial"
"14";"KUL01.T";0;"Colon";17376;4086;3,47030386740331;"T";"Epithelial";"Epithelial"
"15";"KUL01.T";0;"Colon";28687;5100;10,2834036323073;"T";"Epithelial";"Epithelial"
"16";"KUL01.T";0;"Colon";27886;4647;8,57778096535896;"T";"Epithelial";"Epithelial"
"17";"KUL01.T";0;"Colon";2070;992;1,59420289855072;"T";"Epithelial";"Epithelial"
"18";"KUL01.T";0;"Colon";30304;5047;10,2065733896515;"T";"Epithelial";"Epithelial"
"19";"KUL01.T";0;"Colon";14299;3480;7,71382614168823;"T";"Epithelial";"Epithelial"
"20";"KUL01.T";0;"Colon";28928;5204;3,33932522123894;"T";"Epithelial";"Epithelial"
"21";"KUL01.T";0;"Colon";1104;348;17,5724637681159;"T";"Epithelial";"Epithelial"
"22";"KUL01.T";0;"Colon";1744;871;1,26146788990826;"T";"Epithelial";"Epithelial"
"23";"KUL01.T";0;"Colon";2596;1172;2,00308166409861;"T";"Epithelial";"Epithelial"
"24";"KUL01.T";0;"Colon";18352;4192;8,29882301656495;"T";"Epithelial";"Epithelial"
"25";"KUL01.T";0;"Colon";37444;5892;6,96239717978848;"T";"Epithelial";"Epithelial"
"26";"KUL01.T";0;"Colon";10883;1711;14,0586235413029;"T";"Epithelial";"Epithelial"
"27";"KUL01.T";0;"Colon";10754;3055;8,72233587502325;"T";"Epithelial";"Epithelial"
"28";"KUL01.T";0;"Colon";4413;1464;18,1282574212554;"T";"Epithelial";"Epithelial"
"29";"KUL01.T";0;"Colon";3098;1099;10,4906391220142;"T";"Epithelial";"Epithelial"
"30";"KUL01.T";0;"Colon";7456;2611;17,9855150214592;"T";"Epithelial";"Epithelial"
