"";"orig.ident";"seurat_clusters";"cancer_name";"nCount_RNA";"nFeature_RNA";"percent.mito";"group";"Celltype_main";"Celltype_final"
"1";"GSM4116579";1;"Liver";1882;858;0,637619553666312;"N";"Lymphocytes";"NK"
"2";"GSM4116579";1;"Liver";2068;900;1,35396518375242;"N";"Lymphocytes";"NKT"
"3";"GSM4116579";1;"Liver";2296;900;1,13240418118467;"N";"Lymphocytes";"CD4T"
"4";"GSM4116579";1;"Liver";2580;1073;2,09302325581395;"N";"Lymphocytes";"CD8T"
"5";"GSM4116579";1;"Liver";3807;1339;0,998161281849225;"N";"Lymphocytes";"CD8T"
"6";"GSM4116579";1;"Liver";2489;1125;1,60707111289675;"N";"Lymphocytes";"NK"
"7";"GSM4116579";5;"Liver";2122;1077;0,942507068803016;"N";"Stromal";"Endothelial"
"8";"GSM4116579";1;"Liver";1864;761;3,2725321888412;"N";"Lymphocytes";"CD8T"
"9";"GSM4116579";3;"Liver";6422;2032;1,83743382123949;"N";"Epithelial";"Epithelial"
"10";"GSM4116579";2;"Liver";7317;1941;1,8723520568539;"N";"Myeloids";"NKT"
"11";"GSM4116579";3;"Liver";6007;1981;1,09871816214417;"N";"Epithelial";"Epithelial"
"12";"GSM4116579";1;"Liver";2332;885;1,32933104631218;"N";"Lymphocytes";"CD4T"
"13";"GSM4116579";2;"Liver";3678;1220;2,17509516041327;"N";"Myeloids";"Macrophage"
"14";"GSM4116579";2;"Liver";3379;1130;2,13080793134063;"N";"Myeloids";"Monocyte"
"15";"GSM4116579";1;"Liver";1987;872;0,956215400100654;"N";"Lymphocytes";"CD8T"
"16";"GSM4116579";1;"Liver";1876;782;0,692963752665245;"N";"Lymphocytes";"CD4T"
"17";"GSM4116579";1;"Liver";3486;1353;2,83993115318417;"N";"Lymphocytes";"CD8T"
"18";"GSM4116579";1;"Liver";2201;878;0,72694229895502;"N";"Lymphocytes";"CD4T"
"19";"GSM4116579";1;"Liver";4089;1394;2,15211543164588;"N";"Lymphocytes";"NKT"
"20";"GSM4116579";4;"Liver";3589;1467;3,12064641961549;"N";"Lymphocytes";"NK"
"21";"GSM4116579";2;"Liver";5508;1587;1,43427741466957;"N";"Myeloids";"DC"
"22";"GSM4116579";1;"Liver";3120;1159;2,40384615384615;"N";"Lymphocytes";"CD8T"
"23";"GSM4116579";1;"Liver";4031;1424;1,81096502108658;"N";"Lymphocytes";"CD8T"
"24";"GSM4116579";1;"Liver";3378;1254;1,56897572528123;"N";"Lymphocytes";"CD4T"
"25";"GSM4116579";1;"Liver";2091;814;0,334768053562889;"N";"Lymphocytes";"CD4T"
"26";"GSM4116579";4;"Liver";4985;1740;1,86559679037111;"N";"Lymphocytes";"NK"
"27";"GSM4116579";2;"Liver";5645;1568;1,80690876882197;"N";"Myeloids";"DC"
"28";"GSM4116579";1;"Liver";2553;894;0,665883274578927;"N";"Lymphocytes";"CD4T"
"29";"GSM4116579";2;"Liver";2951;1066;2,40596407997289;"N";"Myeloids";"Macrophage"
"30";"GSM4116579";10;"Liver";2380;822;1,21848739495798;"N";"Lymphocytes";"B"
"31";"GSM4116579";2;"Liver";3885;1248;2,62548262548263;"N";"Myeloids";"Macrophage"
"32";"GSM4116579";1;"Liver";1850;827;1,94594594594595;"N";"Lymphocytes";"CD8T"
"33";"GSM4116579";1;"Liver";1964;851;1,9857433808554;"N";"Lymphocytes";"CD8T"
"34";"GSM4116579";3;"Liver";6309;2022;1,91789507053416;"N";"Epithelial";"Epithelial"
"35";"GSM4116579";1;"Liver";1899;839;0,947867298578199;"N";"Lymphocytes";"CD4T"
"36";"GSM4116579";4;"Liver";2737;1159;3,1055900621118;"N";"Lymphocytes";"NK"
"37";"GSM4116579";1;"Liver";2020;765;2,27722772277228;"N";"Lymphocytes";"CD4T"
"38";"GSM4116579";3;"Liver";9404;2622;2,42450021267546;"N";"Epithelial";"Epithelial"
"39";"GSM4116579";1;"Liver";2560;1012;1,71875;"N";"Lymphocytes";"CD8T"
"40";"GSM4116579";3;"Liver";10983;2700;1,46590184831103;"N";"Epithelial";"Epithelial"
"41";"GSM4116579";1;"Liver";2909;1100;2,16569267789618;"N";"Lymphocytes";"CD8T"
"42";"GSM4116579";2;"Liver";5176;1533;2,33771251931994;"N";"Myeloids";"NKT"
"43";"GSM4116579";10;"Liver";1997;819;2,25338007010516;"N";"Lymphocytes";"B"
"44";"GSM4116579";1;"Liver";2031;949;1,13244707040867;"N";"Lymphocytes";"CD8T"
"45";"GSM4116579";2;"Liver";5254;1498;2,05557670346403;"N";"Myeloids";"DC"
"46";"GSM4116579";1;"Liver";2040;785;0,735294117647059;"N";"Lymphocytes";"CD4T"
"47";"GSM4116579";1;"Liver";2861;1144;2,20202726319469;"N";"Lymphocytes";"CD8T"
"48";"GSM4116579";1;"Liver";2587;957;0,889060688055663;"N";"Lymphocytes";"CD4T"
"49";"GSM4116579";1;"Liver";1857;871;0,969305331179321;"N";"Lymphocytes";"CD8T"
"50";"GSM4116579";1;"Liver";2012;852;0,84493041749503;"N";"Lymphocytes";"CD4T"
"51";"GSM4116579";2;"Liver";8594;2281;3,06027461019316;"N";"Myeloids";"NKT"
"52";"GSM4116579";1;"Liver";2674;1036;1,04712041884817;"N";"Lymphocytes";"CD8T"
"53";"GSM4116579";1;"Liver";3599;1369;1,8060572381217;"N";"Lymphocytes";"CD4T"
"54";"GSM4116579";1;"Liver";2421;1047;2,14787277984304;"N";"Lymphocytes";"NK"
"55";"GSM4116579";1;"Liver";3038;1163;1,21790651744569;"N";"Lymphocytes";"CD8T"
"56";"GSM4116579";4;"Liver";2151;985;1,72013017201302;"N";"Lymphocytes";"NK"
"57";"GSM4116579";4;"Liver";3371;1177;1,80955206170276;"N";"Lymphocytes";"NK"
"58";"GSM4116579";1;"Liver";1846;769;1,4626218851571;"N";"Lymphocytes";"CD8T"
"59";"GSM4116579";3;"Liver";7567;2090;2,23338178934849;"N";"Epithelial";"Epithelial"
"60";"GSM4116579";1;"Liver";1856;796;4,36422413793103;"N";"Lymphocytes";"CD4T"
"61";"GSM4116579";4;"Liver";2732;1118;1,35431918008785;"N";"Lymphocytes";"NK"
"62";"GSM4116579";2;"Liver";3033;1169;2,67062314540059;"N";"Myeloids";"Monocyte"
"63";"GSM4116579";1;"Liver";3404;1164;2,262044653349;"N";"Lymphocytes";"CD8T"
"64";"GSM4116579";2;"Liver";4359;1485;2,06469373709566;"N";"Myeloids";"NKT"
"65";"GSM4116579";2;"Liver";3396;1132;1,91401648998822;"N";"Myeloids";"Monocyte"
"66";"GSM4116579";1;"Liver";2127;914;1,26939351198872;"N";"Lymphocytes";"CD4T"
"67";"GSM4116579";3;"Liver";3786;1481;0,977284733227681;"N";"Epithelial";"Epithelial"
"68";"GSM4116579";1;"Liver";2706;1115;1,99556541019956;"N";"Lymphocytes";"NK"
"69";"GSM4116579";3;"Liver";5959;1997;2,86960899479778;"N";"Epithelial";"Epithelial"
"70";"GSM4116579";2;"Liver";5451;1572;2,21977618785544;"N";"Myeloids";"DC"
"71";"GSM4116579";1;"Liver";2064;766;2,22868217054264;"N";"Lymphocytes";"CD4T"
"72";"GSM4116579";4;"Liver";3474;1330;2,15889464594128;"N";"Lymphocytes";"NK"
"73";"GSM4116579";3;"Liver";5044;1787;1,68517049960349;"N";"Epithelial";"Epithelial"
"74";"GSM4116579";1;"Liver";1870;756;0,909090909090909;"N";"Lymphocytes";"CD4T"
"75";"GSM4116579";1;"Liver";3014;1201;1,39349701393497;"N";"Lymphocytes";"CD4T"
"76";"GSM4116579";1;"Liver";1930;765;1,86528497409326;"N";"Lymphocytes";"CD4T"
"77";"GSM4116579";1;"Liver";1878;751;2,0234291799787;"N";"Lymphocytes";"CD8T"
"78";"GSM4116579";1;"Liver";3033;1230;1,28585558852621;"N";"Lymphocytes";"CD8T"
"79";"GSM4116579";1;"Liver";2052;902;1,21832358674464;"N";"Lymphocytes";"CD4T"
"80";"GSM4116579";6;"Liver";6129;1546;3,41001794746288;"N";"Lymphocytes";"Plasma"
"81";"GSM4116579";1;"Liver";4949;1756;2,66720549605981;"N";"Lymphocytes";"NK"
"82";"GSM4116579";1;"Liver";2296;847;1,61149825783972;"N";"Lymphocytes";"CD4T"
"83";"GSM4116579";9;"Liver";7283;1771;1,29067691885212;"N";"Myeloids";"DC"
"84";"GSM4116579";2;"Liver";7573;2037;1,95431136933844;"N";"Myeloids";"Macrophage"
"85";"GSM4116579";3;"Liver";4906;1793;1,22299225438239;"N";"Epithelial";"Epithelial"
"86";"GSM4116579";1;"Liver";3054;1077;2,42305173542895;"N";"Lymphocytes";"CD8T"
"87";"GSM4116579";1;"Liver";2443;968;0,777732296356938;"N";"Lymphocytes";"CD8T"
"88";"GSM4116579";4;"Liver";3702;1345;0,891410048622366;"N";"Lymphocytes";"NK"
"89";"GSM4116579";1;"Liver";2056;916;0,389105058365759;"N";"Lymphocytes";"CD8T"
"90";"GSM4116579";2;"Liver";7233;2142;2,28121111571962;"N";"Myeloids";"NKT"
"91";"GSM4116579";2;"Liver";10251;2339;2,78997171007707;"N";"Myeloids";"DC"
"92";"GSM4116579";3;"Liver";5762;2033;1,80492884415134;"N";"Epithelial";"Epithelial"
"93";"GSM4116579";1;"Liver";1963;940;0,916963830871116;"N";"Lymphocytes";"CD8T"
"94";"GSM4116579";1;"Liver";2042;926;1,5181194906954;"N";"Lymphocytes";"NK"
"95";"GSM4116579";1;"Liver";2054;803;1,21713729308666;"N";"Lymphocytes";"CD8T"
"96";"GSM4116579";5;"Liver";3701;1532;1,62118346392867;"N";"Stromal";"Endothelial"
"97";"GSM4116579";4;"Liver";3011;1194;1,49452009299236;"N";"Lymphocytes";"NK"
"98";"GSM4116579";1;"Liver";2922;1150;2,01916495550992;"N";"Lymphocytes";"NK"
"99";"GSM4116579";1;"Liver";1955;766;1,43222506393862;"N";"Lymphocytes";"CD4T"
"100";"GSM4116579";1;"Liver";2598;833;0,654349499615088;"N";"Lymphocytes";"CD4T"
"101";"GSM4116579";1;"Liver";3352;1265;1,64081145584726;"N";"Lymphocytes";"NK"
"102";"GSM4116579";1;"Liver";1939;856;0,618875709128417;"N";"Lymphocytes";"CD4T"
"103";"GSM4116579";2;"Liver";8644;2223;1,45765849143915;"N";"Myeloids";"NKT"
"104";"GSM4116579";1;"Liver";3990;1424;1,32832080200501;"N";"Lymphocytes";"CD8T"
"105";"GSM4116579";1;"Liver";2328;986;1,54639175257732;"N";"Lymphocytes";"CD8T"
"106";"GSM4116579";1;"Liver";2031;943;1,23092072870507;"N";"Lymphocytes";"CD8T"
"107";"GSM4116579";4;"Liver";2820;1195;2,69503546099291;"N";"Lymphocytes";"NK"
"108";"GSM4116579";1;"Liver";1902;636;1,15667718191377;"N";"Lymphocytes";"CD4T"
"109";"GSM4116579";1;"Liver";4993;1663;2,04286000400561;"N";"Lymphocytes";"CD8T"
"110";"GSM4116579";3;"Liver";8315;2360;1,5634395670475;"N";"Epithelial";"Epithelial"
"111";"GSM4116579";1;"Liver";2560;1145;1,8359375;"N";"Lymphocytes";"NK"
"112";"GSM4116579";1;"Liver";2079;865;1,10630110630111;"N";"Lymphocytes";"CD4T"
"113";"GSM4116579";2;"Liver";4231;1377;2,17442684944458;"N";"Myeloids";"DC"
"114";"GSM4116579";1;"Liver";2007;863;0,49825610363727;"N";"Lymphocytes";"CD4T"
"115";"GSM4116579";1;"Liver";3291;1231;2,03585536311152;"N";"Lymphocytes";"CD8T"
"116";"GSM4116579";2;"Liver";3306;1132;2,08711433756806;"N";"Myeloids";"Monocyte"
"117";"GSM4116579";6;"Liver";12072;2712;3,76076872100729;"N";"Lymphocytes";"CD4T"
"118";"GSM4116579";2;"Liver";2499;1002;1,80072028811525;"N";"Myeloids";"NKT"
"119";"GSM4116579";1;"Liver";2161;884;0,832947709393799;"N";"Lymphocytes";"CD8T"
"120";"GSM4116579";1;"Liver";3043;1198;2,66184686164969;"N";"Lymphocytes";"CD8T"
"121";"GSM4116579";1;"Liver";2243;961;1,24832813196612;"N";"Lymphocytes";"NK"
"122";"GSM4116579";1;"Liver";2190;920;0,958904109589041;"N";"Lymphocytes";"CD4T"
"123";"GSM4116579";1;"Liver";1859;705;2,58203335126412;"N";"Lymphocytes";"CD8T"
"124";"GSM4116579";3;"Liver";4854;1746;2,34857849196539;"N";"Epithelial";"Epithelial"
"125";"GSM4116579";1;"Liver";1930;887;1,55440414507772;"N";"Lymphocytes";"CD8T"
"126";"GSM4116579";1;"Liver";1939;845;0,618875709128417;"N";"Lymphocytes";"CD4T"
"127";"GSM4116579";1;"Liver";3243;1157;1,07924761023743;"N";"Lymphocytes";"CD8T"
"128";"GSM4116579";3;"Liver";7706;2160;1,3495977160654;"N";"Epithelial";"Epithelial"
"129";"GSM4116579";4;"Liver";5734;1895;2,24973840251134;"N";"Lymphocytes";"CD4T"
"130";"GSM4116579";2;"Liver";6201;1672;2,08030962747944;"N";"Myeloids";"NKT"
"131";"GSM4116579";2;"Liver";4292;1299;0,97856477166822;"N";"Myeloids";"DC"
"132";"GSM4116579";1;"Liver";2159;839;3,28855951829551;"N";"Lymphocytes";"CD8T"
"133";"GSM4116579";2;"Liver";2676;1019;3,28849028400598;"N";"Myeloids";"Monocyte"
"134";"GSM4116579";1;"Liver";2087;933;1,05414470531864;"N";"Lymphocytes";"CD4T"
"135";"GSM4116579";1;"Liver";2066;926;1,0648596321394;"N";"Lymphocytes";"CD8T"
"136";"GSM4116579";4;"Liver";6836;2031;1,88706846108836;"N";"Lymphocytes";"NKT"
"137";"GSM4116579";1;"Liver";2207;823;1,58586316266425;"N";"Lymphocytes";"CD8T"
"138";"GSM4116579";1;"Liver";2398;1050;0,667222685571309;"N";"Lymphocytes";"CD8T"
