"";"orig.ident";"seurat_clusters";"cancer_name";"nCount_RNA";"nFeature_RNA";"percent.mito";"group";"Celltype_main";"Celltype_final"
"1";"GSM3516662";4;"Lung";3680;1239;0;"T";"Epithelial";"Epithelial"
"2";"GSM3516662";0;"Lung";2543;886;0;"T";"Lymphocytes";"CD4T"
"3";"GSM3516662";8;"Lung";5460;1412;0;"T";"Myeloids";"Mast"
"4";"GSM3516662";4;"Lung";2340;915;0;"T";"Epithelial";"Epithelial"
"5";"GSM3516662";1;"Lung";5798;1629;0;"T";"Myeloids";"Macrophage"
"6";"GSM3516662";2;"Lung";986;597;0;"T";"Lymphocytes";"CD8T"
"7";"GSM3516662";0;"Lung";1267;411;0;"T";"Lymphocytes";"CD4T"
"8";"GSM3516662";4;"Lung";5058;1584;0;"T";"Epithelial";"Epithelial"
"9";"GSM3516662";4;"Lung";11530;2667;0;"T";"Epithelial";"Epithelial"
"10";"GSM3516662";4;"Lung";14368;3017;0;"T";"Epithelial";"Epithelial"
"11";"GSM3516662";1;"Lung";6346;1658;0;"T";"Myeloids";"Macrophage"
"12";"GSM3516662";4;"Lung";19792;4131;0;"T";"Epithelial";"Epithelial"
"13";"GSM3516662";1;"Lung";14464;2927;0;"T";"Myeloids";"Macrophage"
"14";"GSM3516662";4;"Lung";14350;3223;0;"T";"Epithelial";"Epithelial"
"15";"GSM3516662";1;"Lung";1042;591;0;"T";"Myeloids";"Macrophage"
"16";"GSM3516662";1;"Lung";14292;2544;0;"T";"Myeloids";"Macrophage"
"17";"GSM3516662";2;"Lung";785;368;0;"T";"Lymphocytes";"CD8T"
"18";"GSM3516662";1;"Lung";3376;1185;0;"T";"Myeloids";"DC"
"19";"GSM3516662";4;"Lung";14029;3332;0;"T";"Epithelial";"Epithelial"
"20";"GSM3516662";4;"Lung";10056;2184;0;"T";"Epithelial";"Epithelial"
"21";"GSM3516662";1;"Lung";3218;1204;0;"T";"Myeloids";"Macrophage"
"22";"GSM3516662";4;"Lung";17426;3696;0;"T";"Epithelial";"Epithelial"
"23";"GSM3516662";4;"Lung";4078;1517;0;"T";"Epithelial";"Epithelial"
"24";"GSM3516662";1;"Lung";2562;1084;0;"T";"Myeloids";"Macrophage"
"25";"GSM3516662";4;"Lung";547;217;0;"T";"Epithelial";"Epithelial"
"26";"GSM3516662";1;"Lung";2602;1064;0;"T";"Myeloids";"Macrophage"
"27";"GSM3516662";4;"Lung";8221;2399;0;"T";"Epithelial";"Epithelial"
"28";"GSM3516662";4;"Lung";8860;2399;0;"T";"Epithelial";"Epithelial"
"29";"GSM3516662";4;"Lung";6129;1706;0;"T";"Epithelial";"Epithelial"
"30";"GSM3516662";4;"Lung";2384;1035;0;"T";"Epithelial";"Epithelial"
"31";"GSM3516662";11;"Lung";3653;1196;0;"T";"Stromal";"Fibroblast"
"32";"GSM3516662";8;"Lung";3243;904;0;"T";"Myeloids";"Mast"
"33";"GSM3516662";4;"Lung";6783;2294;0;"T";"Epithelial";"Epithelial"
"34";"GSM3516662";1;"Lung";6573;1718;0;"T";"Myeloids";"Macrophage"
"35";"GSM3516662";8;"Lung";455;283;0;"T";"Myeloids";"Macrophage"
"36";"GSM3516662";4;"Lung";480;277;0;"T";"Epithelial";"Epithelial"
"37";"GSM3516662";1;"Lung";454;279;0;"T";"Myeloids";"DC"
"38";"GSM3516662";4;"Lung";28296;5150;0;"T";"Epithelial";"Epithelial"
"39";"GSM3516662";4;"Lung";27841;4686;0;"T";"Epithelial";"Epithelial"
"40";"GSM3516662";1;"Lung";4085;1401;0;"T";"Myeloids";"Macrophage"
"41";"GSM3516662";1;"Lung";8493;2342;0;"T";"Myeloids";"Macrophage"
"42";"GSM3516662";4;"Lung";6688;1592;0;"T";"Epithelial";"Epithelial"
"43";"GSM3516662";4;"Lung";1239;591;0;"T";"Epithelial";"Epithelial"
"44";"GSM3516662";4;"Lung";1353;644;0;"T";"Epithelial";"Epithelial"
"45";"GSM3516662";1;"Lung";1903;775;0;"T";"Myeloids";"Macrophage"
"46";"GSM3516662";4;"Lung";9657;2397;0;"T";"Epithelial";"Epithelial"
"47";"GSM3516662";4;"Lung";5741;1651;0;"T";"Epithelial";"Epithelial"
"48";"GSM3516662";4;"Lung";1496;686;0;"T";"Epithelial";"Epithelial"
"49";"GSM3516662";4;"Lung";12461;3198;0;"T";"Epithelial";"Epithelial"
"50";"GSM3516662";4;"Lung";10963;3209;0;"T";"Epithelial";"Epithelial"
"51";"GSM3516662";1;"Lung";6541;1574;0;"T";"Myeloids";"Macrophage"
"52";"GSM3516662";10;"Lung";594;226;0;"T";"Myeloids";"Macrophage"
"53";"GSM3516662";4;"Lung";6065;1938;0;"T";"Epithelial";"Epithelial"
"54";"GSM3516662";4;"Lung";8693;2129;0;"T";"Epithelial";"Epithelial"
"55";"GSM3516662";1;"Lung";5283;1666;0;"T";"Myeloids";"Macrophage"
"56";"GSM3516662";4;"Lung";24631;4852;0;"T";"Epithelial";"Epithelial"
"57";"GSM3516662";11;"Lung";747;309;0;"T";"Stromal";"Fibroblast"
"58";"GSM3516662";1;"Lung";1595;757;0;"T";"Myeloids";"Macrophage"
"59";"GSM3516662";4;"Lung";5568;1750;0;"T";"Epithelial";"Epithelial"
"60";"GSM3516662";1;"Lung";6799;1652;0;"T";"Myeloids";"Macrophage"
"61";"GSM3516662";4;"Lung";2915;1173;0;"T";"Epithelial";"Epithelial"
"62";"GSM3516662";1;"Lung";3934;1163;0;"T";"Myeloids";"Macrophage"
"63";"GSM3516662";4;"Lung";5247;1703;0;"T";"Epithelial";"Epithelial"
"64";"GSM3516662";4;"Lung";5887;1541;0;"T";"Epithelial";"Epithelial"
"65";"GSM3516662";1;"Lung";3458;1342;0;"T";"Myeloids";"Macrophage"
"66";"GSM3516662";4;"Lung";3042;1197;0;"T";"Epithelial";"Epithelial"
"67";"GSM3516662";4;"Lung";29639;4942;0;"T";"Epithelial";"Epithelial"
"68";"GSM3516662";12;"Lung";2510;820;0;"T";"Stromal";"Endothelial"
"69";"GSM3516662";4;"Lung";3393;1052;0;"T";"Epithelial";"Epithelial"
"70";"GSM3516662";4;"Lung";10421;2317;0;"T";"Epithelial";"Epithelial"
"71";"GSM3516662";1;"Lung";5918;1824;0;"T";"Myeloids";"Macrophage"
"72";"GSM3516662";4;"Lung";7249;2311;0;"T";"Epithelial";"Epithelial"
"73";"GSM3516662";4;"Lung";18407;3986;0;"T";"Epithelial";"Epithelial"
