"";"orig.ident";"seurat_clusters";"cancer_name";"nCount_RNA";"nFeature_RNA";"percent.mito";"group";"Celltype_main";"Celltype_final"
"1";"BT1303";4;"Ovary";421;249;19,2399049881235;"T";"Lymphocytes";"CD8T"
"2";"BT1303";1;"Ovary";407;226;19,4103194103194;"T";"Epithelial";"Epithelial"
"3";"BT1303";0;"Ovary";2992;1433;8,45588235294118;"T";"Stromal";"Fibroblast"
"4";"BT1303";1;"Ovary";409;259;1,71149144254279;"T";"Epithelial";"Epithelial"
"5";"BT1303";0;"Ovary";2531;1063;6,28210193599368;"T";"Stromal";"Fibroblast"
"6";"BT1303";1;"Ovary";452;303;5,30973451327434;"T";"Epithelial";"Epithelial"
"7";"BT1303";1;"Ovary";572;339;5,06993006993007;"T";"Epithelial";"Epithelial"
"8";"BT1303";0;"Ovary";1687;812;8,06164789567279;"T";"Stromal";"Fibroblast"
"9";"BT1303";1;"Ovary";402;268;4,72636815920398;"T";"Epithelial";"Epithelial"
"10";"BT1303";0;"Ovary";1901;854;2,682798527091;"T";"Stromal";"Fibroblast"
"11";"BT1303";9;"Ovary";587;369;5,79216354344123;"T";"Epithelial";"Epithelial"
"12";"BT1303";4;"Ovary";890;471;9,55056179775281;"T";"Lymphocytes";"CD8T"
"13";"BT1303";6;"Ovary";653;416;9,80091883614089;"T";"Stromal";"Pericyte"
"14";"BT1303";1;"Ovary";447;302;6,04026845637584;"T";"Epithelial";"Epithelial"
"15";"BT1303";0;"Ovary";18506;3892;4,92272776396844;"T";"Stromal";"Fibroblast"
"16";"BT1303";3;"Ovary";2165;902;6,60508083140878;"T";"Myeloids";"Macrophage"
"17";"BT1303";4;"Ovary";493;297;10,9533468559838;"T";"Lymphocytes";"CD8T"
"18";"BT1303";1;"Ovary";460;304;1,95652173913044;"T";"Epithelial";"Epithelial"
"19";"BT1303";4;"Ovary";553;313;16,0940325497288;"T";"Lymphocytes";"CD8T"
"20";"BT1303";2;"Ovary";1310;851;1,29770992366412;"T";"Epithelial";"Epithelial"
"21";"BT1303";8;"Ovary";31861;5666;5,6997583252252;"T";"Stromal";"Endothelial"
"22";"BT1303";3;"Ovary";4224;1538;3,48011363636364;"T";"Myeloids";"Macrophage"
"23";"BT1303";0;"Ovary";958;461;12,3173277661795;"T";"Stromal";"Fibroblast"
"24";"BT1303";0;"Ovary";8970;2726;5,39576365663322;"T";"Stromal";"Fibroblast"
"25";"BT1303";0;"Ovary";1790;832;13,3519553072626;"T";"Stromal";"Fibroblast"
"26";"BT1303";4;"Ovary";518;271;14,8648648648649;"T";"Lymphocytes";"CD8T"
"27";"BT1303";3;"Ovary";2896;1002;11,3259668508287;"T";"Myeloids";"Fibroblast"
"28";"BT1303";1;"Ovary";406;270;0,985221674876847;"T";"Epithelial";"Epithelial"
"29";"BT1303";1;"Ovary";492;307;1,21951219512195;"T";"Epithelial";"Epithelial"
"30";"BT1303";3;"Ovary";3027;1096;4,69111331351173;"T";"Myeloids";"Macrophage"
"31";"BT1303";1;"Ovary";428;262;18,2242990654206;"T";"Epithelial";"Epithelial"
"32";"BT1303";2;"Ovary";412;290;0,970873786407767;"T";"Epithelial";"Epithelial"
"33";"BT1303";0;"Ovary";8933;2604;2,77622299339528;"T";"Stromal";"Fibroblast"
"34";"BT1303";4;"Ovary";1799;723;5,16953863257365;"T";"Lymphocytes";"CD4T"
"35";"BT1303";4;"Ovary";413;269;5,32687651331719;"T";"Lymphocytes";"CD8T"
"36";"BT1303";7;"Ovary";459;312;6,10021786492375;"T";"Myeloids";"Macrophage"
"37";"BT1303";3;"Ovary";3825;1481;2,64052287581699;"T";"Myeloids";"Macrophage"
"38";"BT1303";1;"Ovary";418;280;1,19617224880383;"T";"Epithelial";"Epithelial"
"39";"BT1303";1;"Ovary";446;289;4,48430493273543;"T";"Epithelial";"Epithelial"
"40";"BT1303";1;"Ovary";463;302;2,37580993520518;"T";"Epithelial";"Epithelial"
"41";"BT1303";1;"Ovary";500;297;0,8;"T";"Epithelial";"Epithelial"
"42";"BT1303";0;"Ovary";407;249;12,7764127764128;"T";"Stromal";"Fibroblast"
"43";"BT1303";8;"Ovary";3828;1565;2,8735632183908;"T";"Stromal";"Endothelial"
"44";"BT1303";1;"Ovary";1142;592;5,3415061295972;"T";"Epithelial";"Epithelial"
"45";"BT1303";1;"Ovary";496;322;4,23387096774194;"T";"Epithelial";"Epithelial"
"46";"BT1303";1;"Ovary";2072;547;12,1138996138996;"T";"Epithelial";"Epithelial"
"47";"BT1303";3;"Ovary";4681;1451;5,4261909848323;"T";"Myeloids";"Macrophage"
"48";"BT1303";1;"Ovary";499;329;5,41082164328657;"T";"Epithelial";"Epithelial"
"49";"BT1303";0;"Ovary";12523;3432;3,52950570949453;"T";"Stromal";"Fibroblast"
"50";"BT1303";4;"Ovary";782;377;18,6700767263427;"T";"Lymphocytes";"CD8T"
"51";"BT1303";4;"Ovary";503;300;11,5308151093439;"T";"Lymphocytes";"CD8T"
"52";"BT1303";0;"Ovary";4653;1754;6,66236836449602;"T";"Stromal";"Fibroblast"
